AAL       	Services                 	Major Airlines                                              	   625289000	      26.60B
AAN       	Services                 	Rental & Leasing Services                                   	    64512000	       1.72B
AAOI      	Technology               	Semiconductor - Integrated Circuits                         	    14078000	     302.36M
AAP       	Services                 	Auto Parts Stores                                           	    72862000	      11.92B
AAPL      	Consumer Goods           	Electronic Equipment                                        	  5571874000	     665.14B
ABB       	Industrial Goods         	Diversified Machinery                                       	  1861765000	      41.61B
ABBV      	Healthcare               	Drug Manufacturers - Major                                  	  1632916000	      99.90B
ABC       	Services                 	Drugs Wholesale                                             	   199951000	      21.02B
ABMD      	Healthcare               	Medical Appliances & Equipment                              	    36121000	       3.43B
ABT       	Healthcare               	Medical Appliances & Equipment                              	  1487617000	      68.63B
ABY       	Utilities                	Electric Utilities                                          	    52896000	       1.71B
ACAD      	Healthcare               	Biotechnology                                               	    80128000	       3.63B
ACAS      	Financial                	Asset Management                                            	   239358000	       3.72B
ACC       	Financial                	REIT - Residential                                          	   111856000	       4.55B
ACE       	Financial                	Property & Casualty Insurance                               	   321649000	      37.76B
ACHC      	Healthcare               	Specialized Health Services                                 	    59824000	       4.92B
ACM       	Services                 	Technical Services                                          	   149239000	       4.68B
ACN       	Technology               	Information Technology Services                             	   623042000	      67.46B
ACOR      	Healthcare               	Biotechnology                                               	    39785000	       1.60B
ADBE      	Technology               	Application Software                                        	   496789000	      45.79B
ADI       	Technology               	Semiconductor - Integrated Circuits                         	   311410000	      18.64B
ADM       	Consumer Goods           	Farm Products                                               	   582811000	      21.38B
ADP       	Technology               	Business Software & Services                                	   460482000	      40.26B
ADPT      	Healthcare               	Hospitals                                                   	     3037000	     797.68M
ADSK      	Technology               	Technical & System Software                                 	   184144000	      13.64B
ADT       	Services                 	Security & Protection Services                              	   164493000	       5.65B
ADXS      	Healthcare               	Biotechnology                                               	    24310000	     391.37M
AEE       	Utilities                	Electric Utilities                                          	   241846000	      10.70B
AEGR      	Healthcare               	Biotechnology                                               	    14142000	     294.87M
AEL       	Financial                	Life Insurance                                              	    78519000	       2.19B
AEM       	Basic Materials          	Gold                                                        	   216967000	       5.70B
AEO       	Services                 	Apparel Stores                                              	   179025000	       3.08B
AEP       	Utilities                	Electric Utilities                                          	   490724000	      27.75B
AER       	Services                 	Air Services, Other                                         	   196268000	       8.54B
AET       	Healthcare               	Health Care Plans                                           	   347026000	      36.41B
AF        	Financial                	Savings & Loans                                             	    88050000	       1.58B
AFL       	Financial                	Accident & Health Insurance                                 	   418080000	      28.02B
AFSI      	Financial                	Property & Casualty Insurance                               	    41626000	       5.09B
AGCO      	Industrial Goods         	Farm & Construction Machinery                               	    65817000	       4.16B
