AA
OFC
OGE
OHI
OI
OII
OIS
OKS
OLED
OLN
OMF
OMI
ON
OR
ORC
ORI
OSK
OTEX
OUT
OZRK
PAA
PAAS
PACW
PAG
PAGP
PAH
PANW
PAY
PAYC
PBF
PBI
PBR
PBYI
PCI
PCRX
PDBC
PE
PEGI
PF
PFGC
PFPT
PGRE
PHG
PHH
PI
PII
PK
PKG
PLNT
PNM
PODD
POL
POST
POT
PPC
PRAH
PRTK
PRXL
PSTB
PSTG
PTC
PTCT
PTEN
PTLA
PUMP
PVTB
PZZA
Q
QCP
QEP
QGEN
QSR
RACE
RARE
RBA
RDC
RDN
RDS.A
RDS.B
RDUS
REN
RES
RESI
RGC
RGLD
RICE
RIO
RLGY
RMD
RNG
ROL
RPAI
RPM
RRR
RS
RSP
RSPP
RXN
RY
RYN
SA
SABR
SALE
SAP
SAVE
SBAC
SBGI
SBH
SBNY
SC
SCCO
SCI
SCS
SEAS
SEDG
SEIC
SEMG
SERV
SFL
SFM
SFR
SGEN
SHO
SHOP
SIMO
SINA
SITE
SIVB
SIX
SKT
SKX
SLM
SLW
SM
SMG
SNAP
SND
SNDR
SNE
SNN
SNV
SNY
SON
SPB
SPHD
SPLK
SPN
SPR
SQ
SQM
SRPT
SSNC
SSRI
SSYS
ST
STAG
STAY
STLD
STM
STO
STOR
STRP
SU
SUM
SUN
SWC
SWFT
SXL
SYNA
SYNT
SYT
TCB
TCBI
TD
TDOC
TDS
TEAM
TECK
TEF
TEN
TER
TEVA
TEX
TGTX
THC
THO
THS
TIME
TKR
TMHC
TOL
TOT
TPH
TPX
TRCO
TRGP
TRI
TRMB
TRN
TROX
TRP
TRU
TRUE
TRVG
TS
TSE
TSEM
TSM
TSRO
TSU
TTD
TTM
TTWO
TUP
TV
TVIX
TVPT
TWLO
TWNK
TWTR
TX
TXRH
UBNT
UBSI
UCTT
UE
UFS
UGI
UGP
UIS
UL
UMPQ
UN
UNFI
UNIT
UNVR
UPL
URBN
USFD
USG
USLV
UTHR
UWT
VAL
VCIT
VCSH
VEA
VEDL
VEEV
VGR
VIPS
VIRT
VIV
VLRS
VLY
VMW
VNTV
VOYA
VRX
VSH
VSM
VVV
VWR
W
WAB
WAL
WB
WBMD
WBS
WBT
WCC
WDAY
WEN
WERN
WIT
WIX
WLK
WMGI
WNR
WOOF
WPX
WPZ
WR
WRD
WRI
WSM
WSR
WSTC
WTR
WTW
WUBA
WWAV
X
XIV
XOG
XON
XPO
XXIA
YELP
YEXT
YNDX
YPF
YUMC
YY
Z
ZAYO
ZEN
ZG
ZLTQ
ZTO
