DDD
CAAP
OFC
CZZ
CMRE
COT
COTY
CUZ
CVA
CVIA
CPL
CR
CRD.B
BAP
CS
CEQP
CRH
CRT
CAPL
CCI
CCK
CRY
CSS
CTS
CUBE
CUB
CFR
CULP
CMI
CURO
CW
CWK
CUBI
CVI
UAN
CVRR
CVS
CELP
DHI
DAN
DHR
DAC
DQ
DRI
DAR
DVA
DCP
DF
DECK
DE
DKL
DK
DELL
DLPH
DAL
DLX
DNR
DESP
DB
DVN
DHX
DHT
DEO
DO
DRH
DSX
DKS
DBD
DLR
DDS
DIN
DPLO
DFS
DLB
DG
D
DM
DPZ
UFS
DCI
DFIN
LPG
PLOW
DEI
DOV
DDE
DVD
DWDP
RDY
DRD
DRQ
DS
DSW
DTE
DCO
DUK
DRE
DNB
DXC
DY
DLNG
DX
ELF
EXP
ESTE
DEA
EGP
EMN
KODK
ETN
EV
ECT
ECR
ECL
EC
EPC
EIX
EW
EHIC
EE
ELAN
ESTC
EGO
ELVT
LLY
ELLI
EFC
EARN
AKO.B
ERJ
EME
EEX
EMES
EBS
EMR
ESRT
EIG
EDN
ENBL
ENB
ECA
EHC
DAVA
EXK
ENIA
ENIC
EOCC
ENR
ET
ERF
ENS
EGL
E
ENLC
ENLK
EBF
ENVA
NPO
ESV
ETM
ETR
EPD
EVC
ENV
EVA
ENZ
EOG
EPE
EPAM
EPR
EQGP
EQM
EQT
EFX
EQNR
ETRN
EQC
ELS
EQR
EQS
ERA
EROS
ESE
ESNT
EPRT
ESS
EL
ESL
ETH
EB
EVR
RE
EVRG
EVRI
ES
EVTC
EVH
AQUA
XAN
EXC
EXPR
EXTN
EXR
XOM
FNB
FN
FDS
FICO
SFUN
FTCH
FPI
FBK
FFG
FCB
AGM
FRT
FSS
FII
FDX
RACE
FGP
FOE
FG
FBR
FNF
FIS
FAF
FBP
FCF
FDC
FHN
FR
FRC
FE
FIT
FBC
FLT
FND
FTK
FLO
FLS
FLR
FLY
FMC
FMX
FL
F
FELP
FOR
FTV
FTAI
FBHS
FET
FBM
FCPT
FEDU
FC
FSB
BEN
FI
FCX
FMS
FDP
RESI
FRO
FCN
FTSI
FF
GCAP
GBL
GME
GCI
GPS
GDI
GTX
IT
GLOG
GLOP
GTES
GATX
GCP
GNK
GNRC
GD
GE
GIS
GM
GCO
GWR
GEL
GEN
GNE
G
GPC
GNW
GPRK
GGB
GTY
GIG U
GIL
GKOS
GSK
BRSS
CO
GMRE
GNL
GLP
GPN
GSL
GLOB
GMED
GMS
GNC
GDDY
GOL
GFI
GG
GSBD
GS
GRC
GPX
GGG
GRAF U
EAF
GHM
GHC
GRAM
GVA
GPMT
GRP.U
GPK
GTN
AJX
GWB
GDOT
GBX
GHL
GHG
GEF
GFF
GPI
GRUB
PAC
ASR
SUPV
TV
GSAH U
GTT
GSH
GES
GWRE
HRB
HAE
HK
HAL
HBB
HBI
HNGR
HASI
THG
HOG
HMY
HRS
HSC
HHS
HIG
HVT
HE
FUL
HCHC
HCA
HCI
HCP
HDB
HR
HTA
HL
HEI
HLX
HP
HLF
HRI
HRTG
HT
HSY
HTZ
HES
HESM
HPE
HXL
HF
HCLP
HPR
HIW
HIL
HRC
HI
HTH
HGV
HLT
HNI
HMLP
HEP
HFC
HD
HMC
HON
HMN
HZN
HRL
HOS
HST
HLI
HOV
HHC
HPQ
HSBC
HMI
HNP
HUBB
HUBS
HUD
HPP
HUM
HCFT
HII
HUN
HUYA
H
HY
IAG
IBN
IDA
IEX
ITW
IMAX
ICD
IHC
IRT
IBA
INFY
HIFR
ING
IR
NGVT
INGR
IIPR
IPHI
NSP
INSP
IBP
INST
ITGR
I
ICE
IHG
IBM
IFF
IGT
IP
INSW
IPG
INXN
IPI
IVC
IVZ
IVR
ITG
NVTA
INVH
IO
IQV
IRM
IRS
STAR
ITCB
ITUB
ITT
JAX
JCP
SJM
JILL
JBL
JEC
JAG
JHX
JHG
JBGS
JEF
JELD
JCAP
JT
JKS
JMP
JBT
JW.A
JNJ
JCI
JLL
JPM
JMEI
JNPR
JP
LRN
KAI
KDMN
KAMN
KSU
KAR
KB
KBH
KBR
FRAC
K
KEM
KMPR
KMT
KW
KEN
KDP
KEG
KEY
KEYS
KRC
KRP
KMB
KIM
KMI
KFS
KGC
KEX
KRG
KKR
KREF
KNX
KNL
KNOP
KN
KSS
PHG
KOP
KEP
KFY
KOS
KRA
KR
KRO
KT
LB
SCX
LLL
LZB
LH
LADR
LAIX
LW
LCI
LPI
LVS
LTM
LAZ
LCII
LEAF
LEA
LEE
LGC U
LM
LEG
LDOS
LEJU
LC
LEN
LII
LHC U
LXP
LPL
LBRT
LPT
LSI
LITB
LNC
LIN
LNN
LN
LKM
LGF.A
LAD
LYV
LTHM
RAMP
LYG
LMT
L
LPX
LOW
LXU
LKSD
LTC
LUB
LL
LXFR
LXFT
LDL
LYB
MTB
MDC
MHO
MAC
CLI
MIC
M
MSG
MMP
MGA
MX
MGY
MAIN
MNK
MANU
MTW
MN
MAN
MFC
MRO
MPC
MMI
MCS
MPX
HZO
MKL
VAC
MMC
MLM
MAS
DOOR
MTZ
MA
MTDR
MTRN
MATX
MLP
MMS
MXL
MBI
MKC
MDR
MCD
MUX
MCK
MDU
MTL
MRT
MPW
MED
MDLY
MD
MDT
MFAC U
MRK
MCY
MDP
MTH
MTOR
MTR
MSB
MEI
MET
MCB
MTD
MFA
MFCB
MTG
MGP
MGM
KORS
MAA
MSL
MPO
MCRN
MLR
MTX
MG
MUFG
MIXT
MFG
MBT
MODN
MOD
MC
MOGU
MHK
MOH
TAP
MNR
MCO
MOG.A
MS
MOS
MSI
MOV
MPLX
MRC
MSA
MSM
MSCI
MSGN
MLI
MWA
MUR
MUSA
MVO
MYE
MYOV
NBR
NC
NTP
NBHC
NFG
NGG
NHI
NPK
NNN
NSA
NOV
NGS
NGVC
NRP
NTZ
NLS
NCI
NVGS
NNA
NM
NMM
NAV
NCS
NCR
NP
NNI
NPTN
NETS
NVRO
NGD
NWHM
NJR
NEWM
EDU
NEWR
NRZ
SNR
NYCB
NYT
NFX
NEU
NEM
NR
NEXA
NXRT
NEE
NEP
NGL
NLSN
NKE
NINE
NIO
NI
NL
NOAH
NE
NBL
NBLX
NOK
NOMD
NMR
NAO
NAT
JWN
NSC
NOA
NRT
NOC
NRE
NWN
NWE
NCLH
NVS
NVO
DNOW
NRG
NUS
NUE
NS
NVT
NVR
OAK
OMP
OAS
OBE
OXY
OII
OZM
OCN
OFG
OGE
OIS
ODC
ORI
OLN
OHI
OMC
OMN
ONDK
OGS
OLP
OMF
OKE
ONE
OOMA
OPY
ORCL
ORAN
ORC
OEC
ORN
IX
ORA
OSK
OUT
OSG
OMI
OC
OI
OXM
GLT
ROYT
PACD
PKG
PAGS
PANW
PAM
P
PHX
PARR
PAR
PGRE
PKE
PK
PH
PE
PRTY
PAYC
PBF
PBFX
BTU
PSO
PEB
PEI
PFSI
PMT
PAG
PNR
PEN
PFGC
PKI
PBT
PVL
PRGO
PRSP
PTR
PBR
PFE
PCG
PGTI
PM
PSX
PSXP
FENG
DOC
PDM
PIR
PNW
PES
PXD
PJC
PBI
PVTL
PJT
PAA
PAGP
PLNT
PLT
PAH
AGS
PNC
PNM
PII
POL
POR
PKX
POST
PPDF
PPG
PPL
PQG
PDS
APTS
PBH
PRI
PRA
PG
PGR
PLD
PUMP
PRO
PB
PRLB
PFS
PRU
PUK
PSB
PEG
PSA
PHM
PSTG
NEW
PVH
PYX
PZN
QTWO
QEP
QGEN
QTS
QUAD
KWR
NX
PWR
QD
DGX
QES
QHC
QUOT
RMED
RDN
RL
RPT
RRC
RNGR
RJF
RYAM
RYN
RTN
RMAX
RC
RLGY
O
RHT
RLH
RWT
RBC
RWGE U
RM
RF
RGS
RGA
RS
RELX
RNR
SOL
RENN
RSG
REZI
RMD
REN
RFP
RPAI
RVI
REVG
REV
REX
REXR
RXN
RH
RNG
RIO
RBA
RAD
RLI
RLJ
RRTS
ROAN
RHI
ROK
RCI
ROG
ROL
ROP
RST
RDC
RY
RBS
RCL
RDS.A
RES
RPM
RRD
RTW
RTEC
RYB
R
RYI
RHP
SPGI
SBR
SB
SFE
SAFE
SAIL
CRM
SBH
SJT
SN
SD
SDT
SDR
PER
SNY
SC
SAP
SSL
BFS
SCG
SLB
SNDR
SWM
SAIC
SALT
STNG
SMG
SE
SA
CKH
SMHI
SDLP
SEE
SSW
SEAS
WTTR
SEM
SEMG
SMI
SRE
SEND
ST
SXT
SQNS
SRG
SCI
SERV
NOW
SHAK
SJR
SHLX
SHW
SHG
SFL
SHOP
SSTK
SBGL
SIG
SBOW
SVM
SPG
SSD
SHI
SITC
SITE
SIX
SJW
SKM
SKX
SKY
SLG
SM
SFS
SMAR
SNN
SNAP
SNA
IPOA
SQM
SOGO
SOI
SWI
SAH
SON
SNE
BID
SJI
SXE
SO
SCCO
LUV
SWX
SWN
SPAQ U
SPA
SPB
TRK
SR
SPR
SAVE
SMTA
SRC
SPOT
SRLP
S
SPXC
FLOW
SQ
JOE
STAG
SSI
SMP
SXI
SWK
STN
SGU
SRT
STWD
STT
SPLP
SCS
SCL
STE
STL
STC
SF
STM
STON
SRI
STOR
SYK
MSC
RGR
SPH
SMFG
INN
SUM
SMLP
SUI
SLF
SXC
SXCP
SU
STG
SUN
SHO
STI
SPN
SUP
SWCH
SYF
SNX
SNV
SYY
SYX
DATA
TLRD
TSM
TAL
TGE
TALO
SKT
TPR
TRGP
TGT
TARO
TCO
TMHC
TCP
TCF
TEL
TISI
FTI
TECK
TK
TGP
TOO
TNK
TGNA
TRC
TDOC
TLRA
TEO
TI
TDY
TFX
VIV
TEF
TLK
TDS
TU
TPX
TS
TME
THC
TNC
TEN
TDC
TEX
TX
TRNO
TTI
TEVA
TPL
TGH
TXT
KO
GEO
RUBI
WU
TMO
THR
TPRE
TRI
THO
TDW
TIER
TIF
TLYS
TSU
TKR
TMST
TWI
TJX
TOL
TR
BLD
TMK
TTC
TD
TOT
TSS
TOWR
TSQ
TM
TPGH U
TRTX
TAC
TRP
TCI
TDG
TLP
RIG
TGS
TRU
TRV
TVPT
TREC
TG
THS
TREX
TPH
TRCO
TNET
TRN
TSE
GTS
TRTN
TGI
TROX
TBI
TNP
TUP
TKC
TPB
TRQ
TPC
TWLO
TWTR
TWO
TYL
TSN
USB
USPH
SLCA
UBS
UDR
UGI
UGP
UMH
UAA
UFI
UNF
UN
UL
LTN U
UNP
UIS
UNT
UMC
UPS
URI
USM
X
UTX
UNH
UTL
UNVR
UVV
UHT
UHS
UVE
UTI
UNM
UE
UBA
USFD
LBM
USX
USAC
USNA
USDP
USG
EGY
MTN
VALE
VLO
VLP
VHI
VMI
VVV
VAPO
VAR
VGR
VVC
VEC
VEDL
VEEV
VNTR
VTR
VNE
VER
VRTV
VZ
VRS
VSM
VFC
VVI
VICI
VNCE
VIPS
V
VSH
VPG
VSTO
VST
VSI
VSLR
VMW
VOC
VCRA
VG
VNO
VJET
VOYA
VMC
GWW
WTI
WRB
GRA
WNC
WBC
WDR
WD
WMT
DIS
HCC
WPG
WRE
WCN
WM
WAT
WSO
WTS
W
WFT
WBS
WEC
WEI
WRI
WMK
WBT
WCG
WFC
WELL
WAIR
WCC
WST
WAL
WMC
WGP
WES
WAB
WLK
WLKP
WBK
WRK
WHG
WEX
WY
WPM
WHR
WTM
WSR
WLL
WOW
WRD
WLH
WMB
WSM
WGO
WIT
WNS
WWW
WF
WK
INT
WWE
WP
WOR
WPC
WPP
WPX
WYND
WH
XYF
XHR
XRX
XIN
XPO
XYL
AUY
YELP
YETI
YEXT
YRD
YPF
YUMC
YUM
ZAYO
ZEN
ZBH
ZTS
ZTO
ZUO
ZYME
