Ticker	Company	Local Price	Shares Outstanding	Market Cap
MMM	3M Co	157.21	"624,745,000.00"	"98,216,161,450.00"
ACE	ACE Limited	113.54	"323,805,000.00"	"36,764,819,700.00"
AES	AES Corp	10.95	"682,827,000.00"	"7,476,955,650.00"
AFL	AFLAC Inc	63.75	"430,694,000.00"	"27,456,742,500.00"
GAS	AGL Resources	62.5	"120,088,000.00"	"7,505,500,000.00"
AME	AMETEK Inc	54.82	"242,164,000.00"	"13,275,430,480.00"
T	AT&T Inc	33.51	"6,151,000,000.00"	"206,120,010,000.00"
ABBV	AbbVie Inc.	59.55	"1,655,276,000.00"	"98,571,685,800.00"
ABT	Abbott Laboratories	44.8	"1,490,441,000.00"	"66,771,756,800.00"
ACN	Accenture plc	107.2	"624,135,000.00"	"66,907,272,000.00"
ATVI	Activision Blizzard Inc	34.76	"729,020,000.00"	"25,340,735,200.00"
ADBE	Adobe Systems Inc	88.66	"497,645,000.00"	"44,121,205,700.00"
AAP	Advance Auto Parts Inc	198.43	"73,217,000.00"	"14,528,449,310.00"
AET	Aetna Inc	114.78	"348,598,000.00"	"40,012,078,440.00"
AMG	Affiliated Managers Grp	180.26	"54,284,000.00"	"9,785,233,840.00"
A	Agilent Technologies Inc	37.76	"331,403,000.00"	"12,513,777,280.00"
APD	Air Products & Chemicals Inc	138.98	"214,982,000.00"	"29,878,198,360.00"
ARG	Airgas Inc	96.16	"74,654,000.00"	"7,178,728,640.00"
AKAM	Akamai Technologies Inc	60.82	"178,595,000.00"	"10,862,147,900.00"
AA	Alcoa Inc	8.93	"1,309,802,000.00"	"11,696,531,860.00"
ALXN	Alexion Pharmaceuticals Inc	176	"226,155,000.00"	"39,803,280,000.00"
ALLE	Allegion plc	65.17	"95,812,000.00"	"6,244,068,040.00"
AGN	Allergan plc	308.47	"393,636,000.00"	"121,424,896,920.00"
ADS	Alliance Data Systems Corp	297.31	"61,433,000.00"	"18,264,645,230.00"
ALL	Allstate Corp	61.88	"400,390,000.00"	"24,776,133,200.00"
GOOGL	Alphabet Inc A	737.39	"289,886,000.00"	"213,759,037,540.00"
GOOG	Alphabet Inc C	710.81	"343,929,000.00"	"244,468,172,490.00"
ALTR	Altera Corp	52.55	"302,472,000.00"	"15,894,903,600.00"
MO	Altria Group Inc	60.47	"1,960,695,000.00"	"118,563,226,650.00"
AMZN	Amazon.com Inc	625.9	"467,710,000.00"	"292,739,689,000.00"
AEE	Ameren Corp	43.68	"242,635,000.00"	"10,598,296,800.00"
AAL	American Airlines Group Inc.	46.22	"671,821,000.00"	"31,051,566,620.00"
AEP	American Electric Power	56.65	"490,560,000.00"	"27,790,224,000.00"
AXP	American Express Co	73.26	"1,001,283,000.00"	"73,353,992,580.00"
AIG	American Intl Group Inc	63.06	"1,293,887,000.00"	"81,592,514,220.00"
AMT	American Tower Corp A	102.23	"423,279,000.00"	"43,271,812,170.00"
AMP	Ameriprise Financial Inc	115.36	"178,221,000.00"	"20,559,574,560.00"
ABC	AmerisourceBergen Corp	96.51	"216,202,000.00"	"20,865,655,020.00"
AMGN	Amgen Inc	158.18	"758,250,000.00"	"119,939,985,000.00"
APH	Amphenol Corp A	54.22	"309,147,000.00"	"16,761,950,340.00"
APC	Anadarko Petroleum Corp	66.88	"508,012,000.00"	"33,975,842,560.00"
ADI	Analog Devices Inc	60.12	"313,675,000.00"	"18,858,141,000.00"
ANTM	Anthem Inc	139.15	"261,587,000.00"	"36,399,831,050.00"
