Symbol	Name
AAON	"AAON, Inc."
AAT	American Assets Trust Inc.
AAWW	Atlas Air Worlwide Hldgs
ABAX	"ABAXIS, Inc."
ABCB	ABC Bancorp
ABG	Asbury Automotive Group Inc.
ABM	"ABM Industries, Inc."
ABMD	"ABIOMED, Inc."
ACAT	"Arctic Cat, Inc."
ACET	Aceto Corp.
ACOR	Acorda Therapeutics Inc.
ADC	Agree Realty Corp.
ADPT	"Adeptus Health, Inc."
ADTN	"ADTRAN, Inc."
AEGN	Aegion Corp.
AEIS	"Advanced Energy Industries, Inc."
AEL	American Equity Investment Life Holding Company
AF	Astoria Financial Corp.
AFAM	"Almost Family, Inc."
AFFX	"Affymetrix, Inc."
AGYS	Agilysys Inc.
AHS	"AMN Healthcare Services, Inc."
AIN	Albany Intl Corp.
AIR	AAR Corp.
AIRM	Air Methods Corp.
AIT	Applied Industrial Technologies Inc.
AJRD	"Aerojet Rocketdyne Holdings, Inc."
AKR	Acadia Realty Trust
AKS	AKSteel Holding Corp.
ALE	Allete Inc.
ALGT	Allegiant Travel Co.
ALOG	Analogic Corp.
AMAG	"AMAG Pharmaceuticals, Inc."
AMED	Amedisys
AMRI	"Albany Molecular Research, Inc."
AMSF	"AMERISAFE, Inc."
AMWD	American Woodmark Corp.
ANAC	Anacor Pharmaceuticals Inc.
ANDE	"Andersons, Inc."
ANGO	AngioDynamics Inc.
ANIK	"Anika Therapeutics, Inc."
ANIP	"ANI Pharmaceuticals, Inc."
APEI	American Public Education Inc.
APOG	"Apogee Enterprises, Inc."
ARCB	ArcBest Corp.
AROC	"Archrock, Inc"
ASEI	"American Science and Engineering, Inc."
ASGN	"On Assignment, Inc."
ASTE	"Astec Industries, Inc."
ATNI	"Atlantic Tele-Network, Inc."
ATU	Actuant Corp.
ATW	Atwood Oceanics
AVA	Avista Corp.
AVAV	AeroVironment Inc.
AVD	American Vanguard Corp.
AWR	American States Water Co.
AXE	"Anixter Intl, Inc."
AZZ	"AZZ, Inc."
B	"Barnes Group, Inc."
BABY	"Natus Medical, Inc."
BANR	Banner Corp.
BAS	Basic Energy Services Inc.
BBCN	"Nara Bancorp, Inc."
BBG	Bill Barrett Corp.
BBOX	Black Box Corp.
BCC	Boise Cascade Co.
BCEI	"Bonanza Creek Energy, Inc."
BCO	Brink's Co.
