Investment Company Institute																																									
Long-Term Mutual Fund Net New Cash Flow																																									
"Millions, U.S. dollars"																																									
																																									
Date	Total     long-term		Equity																				Hybrid		Bond																
			Total equity		Domestic												World								Total bond		Taxable												Municipal		
					Total domestic		Large cap		Mid cap		Small cap		Multi cap		Other		Total world		Developed markets		Emerging markets						Total taxable		Investment grade		High yield		Government		Multisector		Global				
																																									
Monthly Net New Cash Flow																																									
01/31/2014	"29,254"		"23,762"		"6,956"		"5,351"		615		-182		"-2,822"		"3,994"		"16,806"		"15,591"		"1,216"		"2,946"		"2,545"		"2,112"		"-2,856"		"3,609"		"-2,163"		-107		"3,629"		433		
2/28/2014	"33,628"		"19,036"		"9,419"		"4,647"		371		-408		383		"4,424"		"9,618"		"11,190"		"-1,572"		"5,794"		"8,797"		"7,116"		527		"3,654"		-383		"1,678"		"1,640"		"1,681"		
3/31/2014	"28,256"		"10,447"		"2,010"		"2,920"		240		802		"-4,599"		"2,647"		"8,437"		"8,246"		191		"3,998"		"13,811"		"12,257"		"3,674"		"2,365"		10		"2,714"		"3,494"		"1,553"		
4/30/2014	"19,894"		"6,267"		-455		"4,132"		"-1,874"		"-2,303"		"-1,147"		738		"6,722"		"6,905"		-183		"4,900"		"8,727"		"7,537"		"1,031"		117		-199		"2,284"		"4,303"		"1,190"		
5/31/2014	"15,541"		-221		"-7,161"		155		"-1,713"		"-2,665"		"-6,178"		"3,240"		"6,940"		"5,417"		"1,523"		"3,742"		"12,020"		"8,474"		"1,777"		-739		-552		"2,356"		"5,632"		"3,545"		
6/30/2014	"13,932"		"-2,262"		"-10,625"		"-6,507"		"-1,923"		"-2,665"		"-3,044"		"3,515"		"8,362"		"6,967"		"1,395"		"4,486"		"11,709"		"9,360"		"4,937"		"-4,912"		688		"3,749"		"4,898"		"2,349"		
7/31/2014	"8,040"		"-6,453"		"-13,785"		"-2,970"		"-2,057"		"-3,722"		"-7,160"		"2,123"		"7,332"		"5,538"		"1,794"		"3,971"		"10,521"		"9,113"		"8,761"		"-11,289"		"2,217"		"2,206"		"7,218"		"1,409"		
