"A"	"500"	15300.000	01/31/2019	81.200	71.100	99.000	0.300	88.500	1536.000	316.385	156.000	-830.000	1085.000	-956.000	-927.000	21.800	"SANTA CLARA"	"CA"	"United States"	318.000	318.000	320.000	322.000	323.000	322.000	321.000	321.000
"AA"	"None"	14000.000	12/31/2018	28.620	43.680	46.000	0.300	87.100	3131.000	183.885	399.000	-249.000	448.000	-288.000	-405.000	318.500	"PITTSBURGH"	"PA"	"United States"	186.000	186.000	186.000	186.000	184.000	185.000	184.000	184.000
"AAL"	"500"	128900.000	12/31/2018	31.590	42.260	57.000	1.100	82.500	8040.000	433.838	3745.000	-112.000	3533.000	-1672.000	-1973.000	-24.600	"FORT WORTH"	"TX"	"United States"	460.588	460.526	463.533	472.297	477.164	484.772	490.818	503.902
"AAN"	"MidCap 400"	11800.000	12/31/2018	50.990	47.410	91.000	1.500	-99999999.990	651.000	65.036	78.800	-35.800	356.500	-129.000	-263.100	4.500	"ATLANTA"	"GA"	"United States"	67.949	68.819	69.645	70.105	70.606	70.746	70.686	71.318
"AAOI"	"SmallCap 600"	2956.000	12/31/2018	13.820	31.580	27.000	5.400	61.500	910.000	18.726	71.900	-25.900	14.000	34.800	-76.500	-41.000	"SUGAR LAND"	"TX"	"United States"	19.797	19.707	19.590	19.492	19.410	19.294	19.081	18.598
"AAON"	"SmallCap 600"	2221.000	12/31/2018	42.870	36.980	95.000	19.300	74.700	126.000	40.539	37.300	-19.500	54.900	-39.700	-34.600	-7.900	"TULSA"	"OK"	"United States"	52.191	52.239	52.384	52.434	52.531	52.567	52.615	52.623
"AAP"	"500"	40000.000	12/29/2018	163.420	144.150	88.000	0.300	-99999999.990	1175.000	71.456	193.700	349.600	811.000	-263.900	-191.800	-9.900	"RALEIGH"	"NC"	"United States"	72.990	73.888	74.054	73.979	73.903	73.866	73.848	73.782
"AAPL"	"500"	132000.000	12/29/2018	186.530	187.740	80.000	0.000	61.000	28530.000	4681.576	13858.000	17280.000	75831.000	-94051.000	35500.000	-0.200	"CUPERTINO"	"CA"	"United States"	4735.820	4801.588	4882.167	5024.877	5112.877	5149.427	5195.088	5225.791
"AAT"	"SmallCap 600"	189.000	12/31/2018	45.120	39.160	97.000	0.700	-99999999.990	246.000	46.621	54.400	-34.700	136.500	-106.800	-64.300	-5.500	"SAN DIEGO"	"CA"	"United States"	46.968	46.960	46.939	46.936	46.911	46.898	46.871	46.174
"AAWW"	"SmallCap 600"	3275.000	12/31/2018	49.060	55.440	65.000	1.500	-99999999.990	268.000	25.141	114.400	-59.100	425.600	216.600	-701.300	96.300	"PURCHASE"	"NY"	"United States"	25.590	25.575	25.565	25.436	25.277	25.262	25.257	25.744
"AAXN"	"SmallCap 600"	1155.000	12/31/2018	52.040	56.960	68.000	1.900	80.500	788.000	57.510	11.100	272.600	63.900	219.300	-9.900	-11.100	"SCOTTSDALE"	"AZ"	"United States"	58.525	58.340	55.527	53.119	52.915	52.831	52.736	52.418
"AB"	"None"	3641.000	12/31/2018	29.070	27.380	93.000	0.000	18.600	233.000	92.167	0.000	0.000	279.300	-262.700	-16.600	8.800	"NEW YORK"	"NY"	"United States"	95.403	97.409	98.368	96.987	93.278	93.374	96.061	96.238
"ABBV"	"500"	30000.000	12/31/2018	80.820	94.960	71.000	0.100	72.300	6878.000	1473.871	638.000	-2014.000	13427.000	-14396.000	-1006.000	-5.400	"NORTH CHICAGO"	"IL"	"United States"	1481.000	1511.000	1568.000	1591.000	1596.000	1597.000	1595.000	1597.000
"ABC"	"500"	21000.000	12/31/2018	81.070	82.180	85.000	0.200	67.900	1633.000	153.875	342.000	-497.600	1880.000	-1281.200	-1096.400	53.600	"CHESTERBROOK"	"PA"	"United States"	212.054	215.394	218.569	219.200	218.323	218.492	218.676	217.650
"ABCB"	"SmallCap 600"	1804.000	12/31/2018	37.040	44.040	64.000	1.100	85.100	361.000	46.173	10.000	348.900	-108.800	511.000	-53.300	24.300	"MOULTRIE"	"GA"	"United States"	47.549	47.515	39.432	37.967	37.242	37.225	37.163	35.664
"ABEO"	"None"	42.000	12/31/2018	7.940	14.130	36.000	-99999999.990	68.700	392.000	31.909	9.200	-118.700	-39.100	5.500	-85.100	-46.400	"DALLAS"	"TX"	"United States"	47.947	47.794	47.304	47.061	45.642	40.378	40.271	40.255
"ABG"	"SmallCap 600"	8200.000	12/31/2018	68.430	68.180	88.000	1.400	-99999999.990	163.000	19.085	4.400	3.600	10.100	143.100	-149.600	-2.600	"DULUTH"	"GA"	"United States"	19.500	20.000	20.300	20.600	20.800	20.600	20.800	21.000
"ABM"	"SmallCap 600"	140000.000	01/31/2019	34.730	31.490	93.000	0.900	-99999999.990	764.000	65.572	51.900	-38.000	247.800	-239.500	-44.200	23.500	"NEW YORK"	"NY"	"United States"	66.400	66.400	66.100	66.000	65.900	62.800	56.100	56.000
"ABMD"	"500"	1143.000	12/31/2018	339.360	366.890	74.000	1.000	89.500	389.000	43.227	47.200	33.700	238.200	-56.200	-149.200	76.300	"DANVERS"	"MA"	"United States"	45.046	44.961	44.546	44.327	44.247	44.141	43.895	43.577
"ABR"	"None"	468.000	12/31/2018	12.810	10.860	97.000	1.600	50.200	951.000	66.973	0.000	96.900	-37.700	816.500	-681.900	60.400	"UNIONDALE"	"NY"	"United States"	79.279	75.677	66.452	62.566	62.477	62.303	57.315	52.063
"ABT"	"500"	103000.000	12/31/2018	79.960	68.530	100.000	0.300	76.700	5968.000	1743.786	1394.000	-5563.000	6300.000	-10391.000	-1356.000	6.700	"ABBOTT PARK"	"IL"	"United States"	1760.946	1759.585	1757.836	1753.412	1748.070	1743.757	1740.524	1727.356
"ACA"	"SmallCap 600"	5889.000	12/31/2018	29.960	28.080	85.000	0.700	82.500	355.000	48.625	44.800	92.600	118.500	338.600	-364.500	-24.200	"DALLAS"	"TX"	"United States"	48.903	48.766	48.766	48.766	-99999999.990	-99999999.990	-99999999.990	-99999999.990
"ACAD"	"None"	430.000	12/31/2018	26.920	20.450	96.000	0.100	98.800	1523.000	143.455	2.100	67.700	-167.500	306.600	-71.500	-14.600	"SAN DIEGO"	"CA"	"United States"	131.683	125.009	124.910	124.727	124.133	122.484	122.122	121.651
"ACBI"	"None"	340.000	12/31/2018	18.650	18.020	86.000	1.700	85.500	116.000	23.979	7.900	-61.600	97.600	38.400	-197.600	27.300	"ATLANTA"	"GA"	"United States"	25.947	26.103	26.011	25.751	25.593	25.699	25.622	25.321
"ACC"	"MidCap 400"	3098.000	12/31/2018	46.080	41.490	98.000	0.600	-99999999.990	724.000	135.986	3.700	41.700	376.600	0.900	-335.800	4.700	"AUSTIN"	"TX"	"United States"	137.034	137.022	136.677	136.526	136.441	136.421	134.614	133.052
"ACCO"	"None"	6700.000	12/31/2018	8.780	10.350	60.000	2.400	93.400	522.000	99.567	34.100	-9.900	194.800	-125.600	-71.900	4.600	"LAKE ZURICH"	"IL"	"United States"	102.400	103.800	106.100	106.800	106.600	108.100	109.500	108.300
"ACHC"	"MidCap 400"	28600.000	12/31/2018	30.940	34.810	68.000	0.900	-99999999.990	1211.000	86.189	18.400	-16.800	414.100	-67.300	-361.000	-60.800	"FRANKLIN"	"TN"	"United States"	87.453	87.344	87.303	87.121	87.056	87.017	86.954	86.762
"ACIA"	"None"	386.000	12/31/2018	55.630	41.130	97.000	7.600	81.200	1010.000	36.039	14.700	-7.100	83.100	-33.900	-56.200	-29.500	"MAYNARD"	"MA"	"United States"	40.385	40.495	40.307	39.836	39.418	39.259	38.756	38.308
"ACIW"	"MidCap 400"	3807.000	12/31/2018	33.180	28.170	97.000	1.100	-99999999.990	770.000	113.465	18.300	78.800	183.900	-57.700	-45.400	-0.500	"NAPLES"	"FL"	"United States"	117.383	115.889	115.548	115.642	118.443	118.254	117.149	116.610
"ACLS"	"SmallCap 600"	992.000	12/31/2018	20.710	21.910	73.000	2.200	86.500	189.000	32.186	4.700	44.000	47.000	1.200	-4.700	42.500	"BEVERLY"	"MA"	"United States"	32.469	32.365	32.214	32.094	31.814	31.274	30.589	29.772
"ACM"	"MidCap 400"	87000.000	12/31/2018	30.260	31.180	81.000	0.800	90.000	754.000	154.126	107.300	25.100	521.700	-394.600	-91.300	48.800	"LOS ANGELES"	"CA"	"United States"	156.416	158.606	160.395	159.495	157.909	157.528	155.763	155.366
"ACMR"	"None"	191.000	09/30/2018	15.950	13.260	91.000	-99999999.990	11.100	219.000	4.325	1.500	4.200	-15.200	43.800	-24.700	-99999999.990	"FREMONT"	"CA"	"United States"	15.916	15.839	15.383	15.574	15.345	25.407	-99999999.990	15.112
"ACOR"	"SmallCap 600"	474.000	12/31/2018	14.350	24.450	39.000	1.400	-99999999.990	768.000	46.826	33.300	-13.700	150.800	12.800	-176.900	4.200	"ARDSLEY"	"NY"	"United States"	47.520	47.184	46.799	46.529	46.242	46.002	45.943	45.808
