Date,GDPDEF
1947-01-01,12.57
1947-04-01,12.75
1947-07-01,12.96
1947-10-01,13.28
1948-01-01,13.38
1948-04-01,13.50
1948-07-01,13.75
1948-10-01,13.79
1949-01-01,13.72
1949-04-01,13.58
1949-07-01,13.51
1949-10-01,13.52
1950-01-01,13.49
1950-04-01,13.54
1950-07-01,13.83
1950-10-01,14.09
1951-01-01,14.60
1951-04-01,14.69
1951-07-01,14.70
1951-10-01,14.87
1952-01-01,14.86
1952-04-01,14.88
1952-07-01,15.05
1952-10-01,15.09
1953-01-01,15.10
1953-04-01,15.13
1953-07-01,15.19
1953-10-01,15.22
1954-01-01,15.27
1954-04-01,15.28
1954-07-01,15.30
1954-10-01,15.34
1955-01-01,15.42
1955-04-01,15.48
1955-07-01,15.59
1955-10-01,15.74
1956-01-01,15.90
1956-04-01,16.00
1956-07-01,16.20
1956-10-01,16.26
1957-01-01,16.49
1957-04-01,16.60
1957-07-01,16.70
1957-10-01,16.71
1958-01-01,16.89
1958-04-01,16.94
1958-07-01,17.04
1958-10-01,17.12
1959-01-01,17.17
1959-04-01,17.19
1959-07-01,17.26
1959-10-01,17.33
1960-01-01,17.40
1960-04-01,17.44
1960-07-01,17.51
1960-10-01,17.56
1961-01-01,17.60
1961-04-01,17.64
1961-07-01,17.69
1961-10-01,17.75
1962-01-01,17.84
1962-04-01,17.87
1962-07-01,17.90
1962-10-01,17.94
1963-01-01,18.02
1963-04-01,18.05
1963-07-01,18.07
1963-10-01,18.22
1964-01-01,18.27
1964-04-01,18.32
1964-07-01,18.39
1964-10-01,18.48
1965-01-01,18.57
1965-04-01,18.65
1965-07-01,18.73
1965-10-01,18.85
1966-01-01,18.98
1966-04-01,19.13
1966-07-01,19.32
1966-10-01,19.48
1967-01-01,19.56
1967-04-01,19.66
1967-07-01,19.85
1967-10-01,20.07
1968-01-01,20.29
1968-04-01,20.50
1968-07-01,20.71
1968-10-01,21.00
1969-01-01,21.22
1969-04-01,21.49
1969-07-01,21.79
1969-10-01,22.07
1970-01-01,22.38
1970-04-01,22.69
1970-07-01,22.88
1970-10-01,23.18
1971-01-01,23.54
1971-04-01,23.85
1971-07-01,24.09
1971-10-01,24.29
1972-01-01,24.66
1972-04-01,24.82
1972-07-01,25.05
1972-10-01,25.37
1973-01-01,25.66
1973-04-01,26.05
1973-07-01,26.55
1973-10-01,27.08
1974-01-01,27.59
1974-04-01,28.25
1974-07-01,29.07
1974-10-01,29.92
1975-01-01,30.60
1975-04-01,31.06
1975-07-01,31.61
1975-10-01,32.14
1976-01-01,32.47
1976-04-01,32.80
1976-07-01,33.23
1976-10-01,33.82
1977-01-01,34.36
1977-04-01,34.84
1977-07-01,35.27
1977-10-01,36.04
1978-01-01,36.57
1978-04-01,37.24
1978-07-01,37.87
1978-10-01,38.66
1979-01-01,39.35
1979-04-01,40.30
1979-07-01,41.17
1979-10-01,41.99
1980-01-01,42.86
1980-04-01,43.80
1980-07-01,44.81
1980-10-01,46.05
1981-01-01,47.20
1981-04-01,48.08
1981-07-01,48.95
1981-10-01,49.86
1982-01-01,50.56
1982-04-01,51.17
1982-07-01,51.91
1982-10-01,52.48
1983-01-01,52.91
1983-04-01,53.27
1983-07-01,53.82
1983-10-01,54.22
1984-01-01,54.80
1984-04-01,55.26
1984-07-01,55.71
1984-10-01,56.08
1985-01-01,56.72
1985-04-01,57.08
1985-07-01,57.41
1985-10-01,57.74
1986-01-01,58.02
1986-04-01,58.25
1986-07-01,58.49
1986-10-01,58.81
1987-01-01,59.24
1987-04-01,59.64
1987-07-01,60.07
1987-10-01,60.57
1988-01-01,61.04
1988-04-01,61.63
1988-07-01,62.36
1988-10-01,62.86
1989-01-01,63.55
1989-04-01,64.21
1989-07-01,64.67
1989-10-01,65.12
1990-01-01,65.84
1990-04-01,66.52
1990-07-01,67.11
1990-10-01,67.62
1991-01-01,68.30
1991-04-01,68.76
1991-07-01,69.27
1991-10-01,69.64
1992-01-01,69.94
1992-04-01,70.39
1992-07-01,70.72
1992-10-01,71.20
1993-01-01,71.61
1993-04-01,72.04
1993-07-01,72.48
1993-10-01,72.85
1994-01-01,73.21
1994-04-01,73.57
1994-07-01,73.97
1994-10-01,74.38
1995-01-01,74.80
1995-04-01,75.13
1995-07-01,75.49
1995-10-01,75.86
1996-01-01,76.27
1996-04-01,76.56
1996-07-01,76.78
1996-10-01,77.17
1997-01-01,77.65
1997-04-01,77.86
1997-07-01,78.14
1997-10-01,78.40
1998-01-01,78.52
1998-04-01,78.69
1998-07-01,78.98
1998-10-01,79.23
1999-01-01,79.62
1999-04-01,79.89
1999-07-01,80.18
1999-10-01,80.55
2000-01-01,81.16
2000-04-01,81.62
2000-07-01,82.15
2000-10-01,82.59
2001-01-01,83.11
2001-04-01,83.70
2001-07-01,83.97
2001-10-01,84.23
2002-01-01,84.50
2002-04-01,84.81
2002-07-01,85.19
2002-10-01,85.65
2003-01-01,86.18
2003-04-01,86.46
2003-07-01,86.93
2003-10-01,87.35
2004-01-01,88.11
2004-04-01,88.88
2004-07-01,89.42
2004-10-01,90.05
2005-01-01,90.88
2005-04-01,91.54
2005-07-01,92.40
2005-10-01,93.10
2006-01-01,93.83
2006-04-01,94.59
2006-07-01,95.25
2006-10-01,95.58
2007-01-01,96.65
2007-04-01,97.19
2007-07-01,97.53
2007-10-01,97.96
2008-01-01,98.52
2008-04-01,99.00
2008-07-01,99.67
2008-10-01,99.82
2009-01-01,100.06
2009-04-01,99.90
2009-07-01,99.87
2009-10-01,100.17
2010-01-01,100.52
2010-04-01,100.97
2010-07-01,101.43
2010-10-01,101.95
2011-01-01,102.40
2011-04-01,103.15
2011-07-01,103.77
2011-10-01,103.92
2012-01-01,104.47
2012-04-01,104.94
2012-07-01,105.51
2012-10-01,105.94
2013-01-01,106.35
2013-04-01,106.57
2013-07-01,107.08
2013-10-01,107.64
2014-01-01,108.08
2014-04-01,108.69
2014-07-01,109.19
2014-10-01,109.35
2015-01-01,109.33
2015-04-01,109.92
2015-07-01,110.29
2015-10-01,110.51
2016-01-01,110.58
2016-04-01,111.25
2016-07-01,111.63
2016-10-01,112.19
2017-01-01,112.75
2017-04-01,113.03
2017-07-01,113.61
2017-10-01,114.28
2018-01-01,114.90
