Date,USROE
1984-01-01,11.97
1984-04-01,10.57
1984-07-01,11.11
1984-10-01,10.56
1985-01-01,12.31
1985-04-01,12.05
1985-07-01,12.17
1985-10-01,11.21
1986-01-01,11.87
1986-04-01,10.73
1986-07-01,10.76
1986-10-01,10.01
1987-01-01,11.43
1987-04-01,-5.94
1987-07-01,0.35
1987-10-01,1.49
1988-01-01,10.90
1988-04-01,11.39
1988-07-01,13.46
1988-10-01,13.35
1989-01-01,14.67
1989-04-01,14.23
1989-07-01,8.97
1989-10-01,7.73
1990-01-01,11.82
1990-04-01,10.82
1990-07-01,9.23
1990-10-01,7.28
1991-01-01,10.04
1991-04-01,9.18
1991-07-01,8.87
1991-10-01,8.01
1992-01-01,12.77
1992-04-01,13.34
1992-07-01,13.49
1992-10-01,13.25
1993-01-01,16.18
1993-04-01,15.65
1993-07-01,15.93
1993-10-01,15.63
1994-01-01,14.88
1994-04-01,14.97
1994-07-01,15.16
1994-10-01,14.91
1995-01-01,14.17
1995-04-01,14.48
1995-07-01,15.22
1995-10-01,14.99
1996-01-01,13.78
1996-04-01,14.98
1996-07-01,15.23
1996-10-01,15.27
1997-01-01,15.26
1997-04-01,15.85
1997-07-01,15.72
1997-10-01,15.65
1998-01-01,15.09
1998-04-01,15.09
1998-07-01,14.55
1998-10-01,14.49
1999-01-01,15.41
1999-04-01,15.00
1999-07-01,16.21
1999-10-01,16.03
2000-01-01,16.29
2000-04-01,14.00
2000-07-01,14.54
2000-10-01,14.36
2001-01-01,14.82
2001-04-01,14.30
2001-07-01,13.71
2001-10-01,13.72
2002-01-01,14.55
2002-04-01,15.27
2002-07-01,15.15
2002-10-01,14.66
2003-01-01,15.22
2003-04-01,15.22
2003-07-01,15.17
2003-10-01,15.38
2004-01-01,15.48
2004-04-01,14.79
2004-07-01,14.06
2004-10-01,14.21
2005-01-01,13.65
2005-04-01,13.89
2005-07-01,13.65
2005-10-01,13.21
2006-01-01,13.48
2006-04-01,13.48
2006-07-01,13.44
2006-10-01,13.41
2007-01-01,12.10
2007-04-01,12.13
2007-07-01,11.75
2007-10-01,9.35
2008-01-01,6.72
2008-04-01,5.18
2008-07-01,4.46
2008-10-01,1.62
2009-01-01,2.28
2009-04-01,0.53
2009-07-01,0.75
2009-10-01,-1.03
2010-01-01,4.80
2010-04-01,5.36
2010-07-01,5.79
2010-10-01,5.79
2011-01-01,7.81
2011-04-01,7.61
2011-07-01,8.35
2011-10-01,7.91
2012-01-01,8.84
2012-04-01,8.69
2012-07-01,8.88
2012-10-01,8.78
2013-01-01,9.91
2013-04-01,9.66
2013-07-01,9.38
2013-10-01,9.46
2014-01-01,8.82
2014-04-01,9.11
2014-07-01,8.98
2014-10-01,8.89
2015-01-01,8.97
2015-04-01,9.29
2015-07-01,9.22
2015-10-01,9.20
2016-01-01,8.31
2016-04-01,8.72
2016-07-01,9.00
2016-10-01,9.03
2017-01-01,9.14
2017-04-01,9.53
2017-07-01,9.58
2017-10-01,8.37
2018-01-01,11.17
