Date,IR3TIB01USQ156N
1964-07-01,3.86
1964-10-01,4.02
1965-01-01,4.20
1965-04-01,4.30
1965-07-01,4.31
1965-10-01,4.57
1966-01-01,5.06
1966-04-01,5.38
1966-07-01,5.73
1966-10-01,5.76
1967-01-01,5.20
1967-04-01,4.53
1967-07-01,4.95
1967-10-01,5.41
1968-01-01,5.46
1968-04-01,6.01
1968-07-01,5.89
1968-10-01,6.07
1969-01-01,6.56
1969-04-01,7.38
1969-07-01,8.51
1969-10-01,8.60
1970-01-01,8.52
1970-04-01,7.89
1970-07-01,7.68
1970-10-01,6.17
1971-01-01,4.44
1971-04-01,4.94
1971-07-01,5.71
1971-10-01,4.93
1972-01-01,3.88
1972-04-01,4.55
1972-07-01,4.93
1972-10-01,5.30
1973-01-01,6.40
1973-04-01,7.67
1973-07-01,10.35
1973-10-01,9.24
1974-01-01,8.64
1974-04-01,10.94
1974-07-01,12.03
1974-10-01,9.37
1975-01-01,6.69
1975-04-01,5.96
1975-07-01,6.82
1975-10-01,6.28
1976-01-01,5.22
1976-04-01,5.51
1976-07-01,5.41
1976-10-01,4.93
1977-01-01,4.83
1977-04-01,5.19
1977-07-01,5.85
1977-10-01,6.69
1978-01-01,6.90
1978-04-01,7.42
1978-07-01,8.27
1978-10-01,10.29
1979-01-01,10.28
1979-04-01,10.06
1979-07-01,10.90
1979-10-01,13.66
1980-01-01,15.09
1980-04-01,11.47
1980-07-01,9.95
1980-10-01,15.76
1981-01-01,15.92
1981-04-01,16.75
1981-07-01,17.52
1981-10-01,13.45
1982-01-01,14.24
1982-04-01,14.23
1982-07-01,11.57
1982-10-01,9.04
1983-01-01,8.53
1983-04-01,8.77
1983-07-01,9.55
1983-10-01,9.41
1984-01-01,9.68
1984-04-01,10.95
1984-07-01,11.44
1984-10-01,9.39
1985-01-01,8.62
1985-04-01,7.95
1985-07-01,7.79
1985-10-01,7.83
1986-01-01,7.58
1986-04-01,6.66
1986-07-01,6.00
1986-10-01,5.83
1987-01-01,6.05
1987-04-01,6.82
1987-07-01,6.94
1987-10-01,7.64
1988-01-01,6.72
1988-04-01,7.22
1988-07-01,8.17
1988-10-01,8.80
1989-01-01,9.60
1989-04-01,9.58
1989-07-01,8.73
1989-10-01,8.44
1990-01-01,8.24
1990-04-01,8.33
1990-07-01,8.04
1990-10-01,7.97
1991-01-01,6.71
1991-04-01,6.01
1991-07-01,5.70
1991-10-01,4.91
1992-01-01,4.12
1992-04-01,3.89
1992-07-01,3.27
1992-10-01,3.44
1993-01-01,3.14
1993-04-01,3.13
1993-07-01,3.14
1993-10-01,3.28
1994-01-01,3.45
1994-04-01,4.35
1994-07-01,4.86
1994-10-01,5.86
1995-01-01,6.18
1995-04-01,6.01
1995-07-01,5.76
1995-10-01,5.72
1996-01-01,5.28
1996-04-01,5.39
1996-07-01,5.48
1996-10-01,5.41
1997-01-01,5.44
1997-04-01,5.69
1997-07-01,5.60
1997-10-01,5.73
1998-01-01,5.55
1998-04-01,5.59
1998-07-01,5.53
1998-10-01,5.20
1999-01-01,4.90
1999-04-01,4.98
1999-07-01,5.38
1999-10-01,6.06
2000-01-01,6.03
2000-04-01,6.57
2000-07-01,6.63
2000-10-01,6.59
2001-01-01,5.26
2001-04-01,4.10
2001-07-01,3.34
2001-10-01,2.06
2002-01-01,1.82
2002-04-01,1.83
2002-07-01,1.76
2002-10-01,1.49
2003-01-01,1.26
2003-04-01,1.17
2003-07-01,1.07
2003-10-01,1.10
2004-01-01,1.05
2004-04-01,1.25
2004-07-01,1.70
2004-10-01,2.25
2005-01-01,2.78
2005-04-01,3.23
2005-07-01,3.74
2005-10-01,4.30
2006-01-01,4.72
2006-04-01,5.18
2006-07-01,5.39
2006-10-01,5.32
2007-01-01,5.31
2007-04-01,5.32
2007-07-01,5.42
2007-10-01,5.02
2008-01-01,3.23
2008-04-01,2.76
2008-07-01,3.06
2008-10-01,2.82
2009-01-01,1.08
2009-04-01,0.62
2009-07-01,0.30
2009-10-01,0.22
2010-01-01,0.21
2010-04-01,0.42
2010-07-01,0.34
2010-10-01,0.28
2011-01-01,0.28
2011-04-01,0.22
2011-07-01,0.29
2011-10-01,0.42
2012-01-01,0.33
2012-04-01,0.30
2012-07-01,0.27
2012-10-01,0.23
2013-01-01,0.22
2013-04-01,0.20
2013-07-01,0.12
2013-10-01,0.13
2014-01-01,0.12
2014-04-01,0.11
2014-07-01,0.13
2014-10-01,0.13
2015-01-01,0.15
2015-04-01,0.15
2015-07-01,0.24
2015-10-01,0.36
2016-01-01,0.55
2016-04-01,0.56
2016-07-01,0.70
2016-10-01,0.77
2017-01-01,0.92
2017-04-01,1.08
2017-07-01,1.24
2017-10-01,1.37
2018-01-01,1.84
