Date,HNONWPDPI
1946-10-01,532.55
1947-10-01,560.25
1948-10-01,530.52
1949-10-01,551.83
1950-10-01,541.73
1951-10-01,536.30
1952-01-01,530.00
1952-04-01,532.45
1952-07-01,523.74
1952-10-01,513.31
1953-01-01,508.98
1953-04-01,502.42
1953-07-01,507.47
1953-10-01,514.75
1954-01-01,517.91
1954-04-01,526.10
1954-07-01,535.49
1954-10-01,532.05
1955-01-01,529.57
1955-04-01,529.67
1955-07-01,531.20
1955-10-01,530.22
1956-01-01,536.62
1956-04-01,531.19
1956-07-01,529.22
1956-10-01,530.15
1957-01-01,527.77
1957-04-01,532.00
1957-07-01,524.32
1957-10-01,529.77
1958-01-01,537.15
1958-04-01,540.61
1958-07-01,545.20
1958-10-01,547.32
1959-01-01,544.61
1959-04-01,541.49
1959-07-01,542.50
1959-10-01,544.73
1960-01-01,539.63
1960-04-01,538.04
1960-07-01,533.67
1960-10-01,545.47
1961-01-01,552.30
1961-04-01,549.73
1961-07-01,549.58
1961-10-01,552.13
1962-01-01,547.45
1962-04-01,516.80
1962-07-01,521.94
1962-10-01,540.33
1963-01-01,544.90
1963-04-01,546.50
1963-07-01,547.39
1963-10-01,535.36
1964-01-01,532.66
1964-04-01,526.84
1964-07-01,527.92
1964-10-01,529.11
1965-01-01,530.07
1965-04-01,520.74
1965-07-01,519.95
1965-10-01,523.08
1966-01-01,515.11
1966-04-01,515.30
1966-07-01,499.86
1966-10-01,506.09
1967-01-01,515.52
1967-04-01,515.81
1967-07-01,520.76
1967-10-01,523.48
1968-01-01,512.49
1968-04-01,520.69
1968-07-01,523.64
1968-10-01,539.87
1969-01-01,535.97
1969-04-01,524.27
1969-07-01,510.04
1969-10-01,502.69
1970-01-01,495.44
1970-04-01,474.91
1970-07-01,479.82
1970-10-01,490.92
1971-01-01,496.94
1971-04-01,492.80
1971-07-01,492.18
1971-10-01,497.49
1972-01-01,508.09
1972-04-01,506.96
1972-07-01,506.52
1972-10-01,508.89
1973-01-01,501.69
1973-04-01,492.14
1973-07-01,499.33
1973-10-01,480.19
1974-01-01,477.04
1974-04-01,466.56
1974-07-01,449.13
1974-10-01,451.34
1975-01-01,466.01
1975-04-01,459.19
1975-07-01,455.91
1975-10-01,458.11
1976-01-01,463.72
1976-04-01,470.87
1976-07-01,468.87
1976-10-01,470.93
1977-01-01,470.14
1977-04-01,469.20
1977-07-01,464.55
1977-10-01,459.59
1978-01-01,459.64
1978-04-01,461.47
1978-07-01,465.22
1978-10-01,463.25
1979-01-01,467.70
1979-04-01,474.42
1979-07-01,476.26
1979-10-01,477.69
1980-01-01,471.80
1980-04-01,485.37
1980-07-01,488.50
1980-10-01,483.48
1981-01-01,481.92
1981-04-01,486.49
1981-07-01,472.66
