Date,USPHCI
1979-01-01,46.92
1979-02-01,47.07
1979-03-01,47.31
1979-04-01,47.38
1979-05-01,47.61
1979-06-01,47.74
1979-07-01,47.86
1979-08-01,47.92
1979-09-01,48.02
1979-10-01,48.11
1979-11-01,48.23
1979-12-01,48.30
1980-01-01,48.34
1980-02-01,48.44
1980-03-01,48.53
1980-04-01,48.43
1980-05-01,48.29
1980-06-01,48.21
1980-07-01,48.11
1980-08-01,48.21
1980-09-01,48.30
1980-10-01,48.42
1980-11-01,48.55
1980-12-01,48.74
1981-01-01,48.79
1981-02-01,48.93
1981-03-01,49.01
1981-04-01,49.14
1981-05-01,49.15
1981-06-01,49.29
1981-07-01,49.44
1981-08-01,49.45
1981-09-01,49.46
1981-10-01,49.42
1981-11-01,49.35
1981-12-01,49.29
1982-01-01,49.21
1982-02-01,49.18
1982-03-01,49.16
1982-04-01,49.06
1982-05-01,49.07
1982-06-01,48.99
1982-07-01,48.89
1982-08-01,48.88
1982-09-01,48.78
1982-10-01,48.68
1982-11-01,48.59
1982-12-01,48.63
1983-01-01,48.79
1983-02-01,48.81
1983-03-01,48.93
1983-04-01,49.09
1983-05-01,49.25
1983-06-01,49.45
1983-07-01,49.79
1983-08-01,49.77
1983-09-01,50.24
1983-10-01,50.50
1983-11-01,50.77
1983-12-01,51.04
1984-01-01,51.33
1984-02-01,51.62
1984-03-01,51.83
1984-04-01,52.08
1984-05-01,52.35
1984-06-01,52.62
1984-07-01,52.76
1984-08-01,52.97
1984-09-01,53.22
1984-10-01,53.39
1984-11-01,53.65
1984-12-01,53.78
1985-01-01,53.97
1985-02-01,54.13
1985-03-01,54.34
1985-04-01,54.48
1985-05-01,54.69
1985-06-01,54.79
1985-07-01,54.96
1985-08-01,55.17
1985-09-01,55.33
1985-10-01,55.49
1985-11-01,55.67
1985-12-01,55.82
1986-01-01,56.03
1986-02-01,56.04
1986-03-01,56.18
1986-04-01,56.35
1986-05-01,56.46
1986-06-01,56.53
1986-07-01,56.76
1986-08-01,56.90
1986-09-01,57.07
1986-10-01,57.23
1986-11-01,57.40
1986-12-01,57.64
1987-01-01,57.78
1987-02-01,57.95
1987-03-01,58.13
1987-04-01,58.41
1987-05-01,58.57
1987-06-01,58.76
1987-07-01,58.98
1987-08-01,59.16
1987-09-01,59.36
1987-10-01,59.59
1987-11-01,59.83
1987-12-01,60.06
1988-01-01,60.21
1988-02-01,60.46
1988-03-01,60.67
1988-04-01,60.93
1988-05-01,61.07
1988-06-01,61.35
1988-07-01,61.54
1988-08-01,61.65
1988-09-01,61.91
1988-10-01,62.10
1988-11-01,62.35
1988-12-01,62.55
1989-01-01,62.73
1989-02-01,62.99
1989-03-01,63.20
1989-04-01,63.31
1989-05-01,63.46
1989-06-01,63.57
1989-07-01,63.70
1989-08-01,63.80
1989-09-01,63.93
1989-10-01,64.06
1989-11-01,64.21
1989-12-01,64.35
1990-01-01,64.55
1990-02-01,64.75
1990-03-01,64.94
1990-04-01,65.02
1990-05-01,65.17
1990-06-01,65.33
1990-07-01,65.34
1990-08-01,65.33
1990-09-01,65.33
1990-10-01,65.36
1990-11-01,65.30
1990-12-01,65.29
1991-01-01,65.28
1991-02-01,65.19
1991-03-01,65.13
1991-04-01,65.11
1991-05-01,65.08
1991-06-01,65.14
1991-07-01,65.21
1991-08-01,65.25
1991-09-01,65.32
1991-10-01,65.39
1991-11-01,65.44
1991-12-01,65.44
1992-01-01,65.55
1992-02-01,65.57
1992-03-01,65.68
1992-04-01,65.81
1992-05-01,65.88
1992-06-01,65.97
1992-07-01,66.11
1992-08-01,66.27
1992-09-01,66.37
1992-10-01,66.60
1992-11-01,66.68
1992-12-01,66.89
1993-01-01,67.11
1993-02-01,67.38
1993-03-01,67.50
1993-04-01,67.67
1993-05-01,67.87
1993-06-01,68.07
1993-07-01,68.29
1993-08-01,68.49
1993-09-01,68.71
1993-10-01,68.87
1993-11-01,69.14
1993-12-01,69.40
1994-01-01,69.59
1994-02-01,69.81
1994-03-01,70.07
1994-04-01,70.33
1994-05-01,70.63
1994-06-01,70.89
1994-07-01,71.15
1994-08-01,71.42
1994-09-01,71.69
1994-10-01,71.92
1994-11-01,72.24
1994-12-01,72.50
