Date,GASALLW
1993-04-05,1.07
1993-04-12,1.08
1993-04-19,1.08
1993-04-26,1.09
1993-05-03,1.09
1993-05-10,1.10
1993-05-17,1.11
1993-05-24,1.11
1993-05-31,1.11
1993-06-07,1.10
1993-06-14,1.10
1993-06-21,1.10
1993-06-28,1.09
1993-07-05,1.09
1993-07-12,1.08
1993-07-19,1.08
1993-07-26,1.07
1993-08-02,1.06
1993-08-09,1.06
1993-08-16,1.06
1993-08-23,1.07
1993-08-30,1.06
1993-09-06,1.06
1993-09-13,1.05
1993-09-20,1.05
1993-09-27,1.05
1993-10-04,1.09
1993-10-11,1.09
1993-10-18,1.09
1993-10-25,1.09
1993-11-01,1.08
1993-11-08,1.08
1993-11-15,1.06
1993-11-22,1.06
1993-11-29,1.05
1993-12-06,1.04
1993-12-13,1.02
1993-12-20,1.00
1993-12-27,1.00
1994-01-03,0.99
1994-01-10,1.00
1994-01-17,1.00
1994-01-24,1.00
1994-01-31,1.01
1994-02-07,1.01
1994-02-14,1.02
1994-02-21,1.01
1994-02-28,1.00
1994-03-07,1.01
1994-03-14,1.01
1994-03-21,1.01
1994-03-28,1.01
1994-04-04,1.01
1994-04-11,1.03
1994-04-18,1.03
1994-04-25,1.04
1994-05-02,1.04
1994-05-09,1.05
1994-05-16,1.05
1994-05-23,1.05
1994-05-30,1.06
1994-06-06,1.07
1994-06-13,1.07
1994-06-20,1.08
1994-06-27,1.10
1994-07-04,1.10
1994-07-11,1.10
1994-07-18,1.11
1994-07-25,1.11
1994-08-01,1.13
1994-08-08,1.16
1994-08-15,1.16
1994-08-22,1.17
1994-08-29,1.16
1994-09-05,1.16
1994-09-12,1.15
1994-09-19,1.14
1994-09-26,1.13
1994-10-03,1.12
1994-10-10,1.11
1994-10-17,1.11
1994-10-24,1.11
1994-10-31,1.12
1994-11-07,1.12
1994-11-14,1.12
1994-11-21,1.11
1994-11-28,1.12
1994-12-05,1.13
1994-12-12,1.13
1994-12-19,1.13
1994-12-26,1.13
1995-01-02,1.13
1995-01-09,1.13
1995-01-16,1.13
1995-01-23,1.13
1995-01-30,1.13
1995-02-06,1.12
1995-02-13,1.12
1995-02-20,1.12
1995-02-27,1.12
1995-03-06,1.12
1995-03-13,1.12
1995-03-20,1.11
1995-03-27,1.12
