Date,DHIDFHMVDM
2001-01-01,23.00
2001-02-01,23.40
2001-03-01,21.18
2001-04-01,23.18
2001-05-01,22.64
2001-06-01,22.57
2001-07-01,22.19
2001-08-01,22.11
2001-09-01,21.27
2001-10-01,19.40
2001-11-01,18.43
2001-12-01,18.47
2002-01-01,19.34
2002-02-01,18.72
2002-03-01,19.47
2002-04-01,18.44
2002-05-01,18.59
2002-06-01,18.64
2002-07-01,17.62
2002-08-01,18.54
2002-09-01,18.13
2002-10-01,18.63
2002-11-01,18.31
2002-12-01,16.50
2003-01-01,18.16
2003-02-01,19.65
2003-03-01,18.68
2003-04-01,17.89
2003-05-01,18.46
2003-06-01,18.01
2003-07-01,18.18
2003-08-01,18.32
2003-09-01,16.84
2003-10-01,16.75
2003-11-01,17.51
2003-12-01,16.60
2004-01-01,18.10
2004-02-01,18.95
2004-03-01,16.88
2004-04-01,17.94
2004-05-01,19.20
2004-06-01,18.49
2004-07-01,19.85
2004-08-01,19.13
2004-09-01,19.26
2004-10-01,19.26
2004-11-01,17.35
2004-12-01,17.29
2005-01-01,18.29
2005-02-01,18.61
2005-03-01,19.12
2005-04-01,20.10
2005-05-01,19.78
2005-06-01,19.34
2005-07-01,20.68
2005-08-01,20.06
2005-09-01,19.98
2005-10-01,22.21
2005-11-01,20.79
2005-12-01,21.04
2006-01-01,21.02
2006-02-01,20.77
2006-03-01,21.21
2006-04-01,23.39
2006-05-01,21.36
2006-06-01,21.51
2006-07-01,20.49
2006-08-01,21.91
2006-09-01,22.61
2006-10-01,22.54
2006-11-01,20.67
2006-12-01,21.43
2007-01-01,22.22
2007-02-01,22.67
2007-03-01,22.14
2007-04-01,23.98
2007-05-01,23.03
2007-06-01,22.97
2007-07-01,23.26
2007-08-01,23.05
2007-09-01,22.93
2007-10-01,21.85
2007-11-01,21.24
2007-12-01,21.65
2008-01-01,22.44
2008-02-01,21.74
2008-03-01,21.92
2008-04-01,21.64
2008-05-01,22.70
2008-06-01,21.05
2008-07-01,22.09
2008-08-01,21.45
2008-09-01,20.66
2008-10-01,19.15
2008-11-01,20.35
2008-12-01,17.75
2009-01-01,17.46
2009-02-01,18.03
2009-03-01,18.20
2009-04-01,16.25
2009-05-01,16.45
2009-06-01,17.17
2009-07-01,15.41
2009-08-01,15.72
2009-09-01,16.25
2009-10-01,16.78
2009-11-01,15.43
2009-12-01,16.29
2010-01-01,17.06
2010-02-01,17.89
2010-03-01,16.36
2010-04-01,19.08
2010-05-01,17.96
2010-06-01,17.62
2010-07-01,17.97
2010-08-01,19.54
2010-09-01,18.49
2010-10-01,18.73
2010-11-01,18.78
2010-12-01,18.02
2011-01-01,19.32
2011-02-01,19.26
2011-03-01,18.78
2011-04-01,19.86
2011-05-01,20.12
2011-06-01,19.24
2011-07-01,21.17
2011-08-01,20.55
2011-09-01,20.22
2011-10-01,21.17
2011-11-01,19.99
2011-12-01,20.14
2012-01-01,21.66
2012-02-01,21.14
2012-03-01,21.50
2012-04-01,22.51
2012-05-01,21.48
2012-06-01,22.03
2012-07-01,22.77
2012-08-01,21.56
2012-09-01,22.02
2012-10-01,21.95
2012-11-01,21.30
2012-12-01,21.17
2013-01-01,21.77
2013-02-01,22.57
2013-03-01,23.77
2013-04-01,22.66
2013-05-01,22.21
2013-06-01,23.08
2013-07-01,22.34
2013-08-01,21.50
2013-09-01,21.79
2013-10-01,23.64
2013-11-01,22.39
2013-12-01,21.79
2014-01-01,21.98
2014-02-01,22.78
2014-03-01,22.89
2014-04-01,23.81
2014-05-01,24.88
2014-06-01,25.15
2014-07-01,24.21
2014-08-01,26.02
2014-09-01,24.24
2014-10-01,24.30
2014-11-01,24.76
2014-12-01,24.02
2015-01-01,25.74
2015-02-01,26.58
2015-03-01,26.49
2015-04-01,27.58
2015-05-01,27.98
2015-06-01,26.75
2015-07-01,28.22
2015-08-01,28.53
2015-09-01,27.09
2015-10-01,26.71
2015-11-01,26.12
2015-12-01,25.17
2016-01-01,28.29
2016-02-01,26.87
2016-03-01,28.43
2016-04-01,29.34
2016-05-01,28.83
2016-06-01,28.16
2016-07-01,28.47
2016-08-01,28.05
2016-09-01,27.62
2016-10-01,27.73
2016-11-01,27.41
2016-12-01,27.09
2017-01-01,26.01
2017-02-01,27.37
2017-03-01,27.55
2017-04-01,29.29
2017-05-01,27.83
2017-06-01,28.21
2017-07-01,29.12
2017-08-01,28.83
2017-09-01,29.70
2017-10-01,28.44
2017-11-01,28.24
2017-12-01,27.22
2018-01-01,27.90
2018-02-01,28.99
2018-03-01,30.26
2018-04-01,31.08
