Date,DRALACBN
1985-01-01,4.80
1985-04-01,4.81
1985-07-01,4.86
1985-10-01,4.73
1986-01-01,5.06
1986-04-01,4.63
1986-07-01,4.71
1986-10-01,4.62
1987-01-01,5.88
1987-04-01,5.33
1987-07-01,5.27
1987-10-01,5.28
1988-01-01,5.36
1988-04-01,4.90
1988-07-01,5.01
1988-10-01,4.65
1989-01-01,5.15
1989-04-01,4.85
1989-07-01,4.99
1989-10-01,4.93
1990-01-01,5.24
1990-04-01,4.95
1990-07-01,5.31
1990-10-01,5.98
1991-01-01,6.38
1991-04-01,6.04
1991-07-01,5.93
1991-10-01,5.82
1992-01-01,5.77
1992-04-01,5.30
1992-07-01,5.16
1992-10-01,4.84
1993-01-01,4.69
1993-04-01,4.11
1993-07-01,3.83
1993-10-01,3.38
1994-01-01,3.29
1994-04-01,2.80
1994-07-01,2.63
1994-10-01,2.51
1995-01-01,2.63
1995-04-01,2.44
1995-07-01,2.47
1995-10-01,2.48
1996-01-01,2.52
1996-04-01,2.40
1996-07-01,2.40
1996-10-01,2.42
1997-01-01,2.45
1997-04-01,2.24
1997-07-01,2.21
1997-10-01,2.29
1998-01-01,2.31
1998-04-01,2.13
1998-07-01,2.16
1998-10-01,2.25
1999-01-01,2.24
1999-04-01,2.10
1999-07-01,2.19
1999-10-01,2.11
2000-01-01,2.11
2000-04-01,2.08
2000-07-01,2.19
2000-10-01,2.40
2001-01-01,2.44
2001-04-01,2.48
2001-07-01,2.71
2001-10-01,2.82
2002-01-01,2.76
2002-04-01,2.67
2002-07-01,2.68
2002-10-01,2.65
2003-01-01,2.54
2003-04-01,2.34
2003-07-01,2.22
2003-10-01,2.21
2004-01-01,1.96
2004-04-01,1.79
2004-07-01,1.74
2004-10-01,1.69
2005-01-01,1.61
2005-04-01,1.51
2005-07-01,1.55
2005-10-01,1.60
2006-01-01,1.52
2006-04-01,1.45
2006-07-01,1.57
2006-10-01,1.75
2007-01-01,1.75
2007-04-01,1.79
2007-07-01,2.12
2007-10-01,2.56
2008-01-01,2.90
2008-04-01,3.19
2008-07-01,3.69
2008-10-01,4.90
2009-01-01,5.72
2009-04-01,6.15
2009-07-01,6.88
2009-10-01,7.49
2010-01-01,7.50
2010-04-01,6.99
2010-07-01,6.85
2010-10-01,6.51
2011-01-01,6.27
2011-04-01,5.82
2011-07-01,5.67
2011-10-01,5.55
2012-01-01,5.33
2012-04-01,5.02
2012-07-01,5.02
2012-10-01,4.72
2013-01-01,4.45
2013-04-01,4.06
2013-07-01,3.76
2013-10-01,3.58
2014-01-01,3.33
2014-04-01,3.03
2014-07-01,2.88
2014-10-01,2.75
2015-01-01,2.51
2015-04-01,2.34
2015-07-01,2.27
2015-10-01,2.24
2016-01-01,2.19
2016-04-01,2.09
2016-07-01,2.05
2016-10-01,2.07
2017-01-01,1.95
2017-04-01,1.80
2017-07-01,1.82
2017-10-01,1.82
2018-01-01,1.72
