Date,IPGMFN
1972-01-01,35.47
1972-02-01,36.58
1972-03-01,37.15
1972-04-01,37.90
1972-05-01,38.09
1972-06-01,39.05
1972-07-01,36.29
1972-08-01,37.83
1972-09-01,39.56
1972-10-01,40.48
1972-11-01,40.14
1972-12-01,39.22
1973-01-01,39.15
1973-02-01,40.84
1973-03-01,41.30
1973-04-01,41.34
1973-05-01,41.84
1973-06-01,42.84
1973-07-01,40.43
1973-08-01,40.95
1973-09-01,42.91
1973-10-01,43.66
1973-11-01,43.15
1973-12-01,41.49
1974-01-01,40.84
1974-02-01,41.63
1974-03-01,42.08
1974-04-01,41.62
1974-05-01,42.56
1974-06-01,43.56
1974-07-01,40.95
1974-08-01,41.41
1974-09-01,42.83
1974-10-01,42.85
1974-11-01,40.73
1974-12-01,37.71
1975-01-01,36.40
1975-02-01,36.17
1975-03-01,35.97
1975-04-01,36.28
1975-05-01,36.26
1975-06-01,37.41
1975-07-01,35.54
1975-08-01,37.03
1975-09-01,38.70
1975-10-01,39.11
1975-11-01,38.52
1975-12-01,37.79
1976-01-01,37.88
1976-02-01,39.44
1976-03-01,40.07
1976-04-01,39.95
1976-05-01,40.85
1976-06-01,41.76
1976-07-01,39.39
1976-08-01,40.49
1976-09-01,41.69
1976-10-01,42.09
1976-11-01,41.81
1976-12-01,40.96
1977-01-01,40.40
1977-02-01,42.20
1977-03-01,43.55
1977-04-01,43.84
1977-05-01,44.52
1977-06-01,45.88
1977-07-01,43.15
1977-08-01,43.97
1977-09-01,45.37
1977-10-01,45.88
1977-11-01,45.00
1977-12-01,44.27
1978-01-01,43.17
1978-02-01,44.48
1978-03-01,45.85
1978-04-01,47.03
1978-05-01,47.03
1978-06-01,48.32
1978-07-01,45.38
1978-08-01,46.43
1978-09-01,48.20
1978-10-01,48.90
1978-11-01,48.30
1978-12-01,47.49
1979-01-01,46.45
1979-02-01,47.97
1979-03-01,49.16
1979-04-01,47.63
1979-05-01,48.92
1979-06-01,49.89
1979-07-01,47.10
1979-08-01,47.40
1979-09-01,48.83
1979-10-01,49.18
1979-11-01,48.09
1979-12-01,47.27
1980-01-01,46.89
1980-02-01,47.98
1980-03-01,48.48
1980-04-01,47.06
1980-05-01,45.69
1980-06-01,45.85
1980-07-01,42.87
1980-08-01,44.43
1980-09-01,46.19
1980-10-01,47.06
1980-11-01,47.06
1980-12-01,46.26
1981-01-01,45.63
1981-02-01,46.49
1981-03-01,47.44
1981-04-01,47.17
1981-05-01,47.67
1981-06-01,48.37
1981-07-01,46.00
1981-08-01,47.10
1981-09-01,47.59
1981-10-01,47.40
1981-11-01,45.98
1981-12-01,44.38
1982-01-01,42.88
1982-02-01,45.04
1982-03-01,45.30
1982-04-01,44.59
1982-05-01,44.71
1982-06-01,45.61
1982-07-01,43.31
1982-08-01,43.96
1982-09-01,44.64
1982-10-01,44.20
1982-11-01,43.02
1982-12-01,41.94
1983-01-01,42.77
1983-02-01,43.69
1983-03-01,44.76
1983-04-01,45.02
1983-05-01,45.71
1983-06-01,47.14
1983-07-01,45.35
1983-08-01,46.74
1983-09-01,48.73
1983-10-01,49.28
1983-11-01,48.37
1983-12-01,47.40
1984-01-01,48.29
1984-02-01,49.92
1984-03-01,50.88
1984-04-01,50.86
1984-05-01,51.02
1984-06-01,52.35
1984-07-01,49.84
1984-08-01,51.13
1984-09-01,52.19
1984-10-01,52.30
1984-11-01,51.34
1984-12-01,50.38
1985-01-01,50.28
1985-02-01,51.11
1985-03-01,52.13
1985-04-01,51.53
1985-05-01,51.81
1985-06-01,53.06
1985-07-01,50.00
1985-08-01,51.63
1985-09-01,52.83
1985-10-01,52.60
1985-11-01,51.81
1985-12-01,50.96
1986-01-01,51.59
1986-02-01,52.36
1986-03-01,52.36
1986-04-01,52.87
1986-05-01,52.69
1986-06-01,53.73
1986-07-01,50.95
1986-08-01,52.82
1986-09-01,54.04
1986-10-01,54.15
1986-11-01,53.25
1986-12-01,52.59
1987-01-01,52.51
1987-02-01,54.41
1987-03-01,54.94
1987-04-01,54.68
1987-05-01,55.44
1987-06-01,56.82
1987-07-01,54.02
1987-08-01,56.25
1987-09-01,57.36
1987-10-01,58.58
1987-11-01,57.66
1987-12-01,56.74
1988-01-01,56.78
1988-02-01,58.01
1988-03-01,58.69
1988-04-01,58.91
1988-05-01,59.00
1988-06-01,60.41
1988-07-01,57.04
1988-08-01,59.01
1988-09-01,60.35
1988-10-01,60.72
1988-11-01,59.54
1988-12-01,58.43
1989-01-01,59.11
1989-02-01,59.57
1989-03-01,59.52
1989-04-01,60.43
1989-05-01,59.51
1989-06-01,60.97
1989-07-01,56.82
1989-08-01,59.64
1989-09-01,60.45
1989-10-01,60.37
1989-11-01,59.13
1989-12-01,57.91
1990-01-01,57.76
1990-02-01,59.63
1990-03-01,60.52
1990-04-01,59.51
1990-05-01,60.46
1990-06-01,62.05
1990-07-01,58.57
1990-08-01,60.96
1990-09-01,62.01
1990-10-01,61.42
1990-11-01,59.35
1990-12-01,57.63
1991-01-01,57.28
1991-02-01,57.81
1991-03-01,57.55
1991-04-01,58.19
1991-05-01,58.54
1991-06-01,60.50
1991-07-01,57.24
1991-08-01,59.85
1991-09-01,61.29
1991-10-01,61.20
1991-11-01,59.56
1991-12-01,58.01
1992-01-01,57.91
1992-02-01,59.59
1992-03-01,60.97
1992-04-01,60.51
1992-05-01,61.38
1992-06-01,62.92
1992-07-01,59.74
1992-08-01,62.29
1992-09-01,62.98
1992-10-01,63.60
1992-11-01,62.58
1992-12-01,61.10
1993-01-01,61.35
1993-02-01,62.85
1993-03-01,63.47
1993-04-01,63.03
1993-05-01,63.44
1993-06-01,64.75
1993-07-01,61.15
1993-08-01,63.86
1993-09-01,65.06
1993-10-01,65.68
1993-11-01,64.64
1993-12-01,63.50
1994-01-01,63.44
1994-02-01,64.85
1994-03-01,66.62
1994-04-01,66.45
1994-05-01,67.16
1994-06-01,68.94
1994-07-01,64.89
1994-08-01,68.67
1994-09-01,70.08
1994-10-01,70.65
1994-11-01,69.82
1994-12-01,69.08
1995-01-01,68.78
1995-02-01,70.19
1995-03-01,71.46
1995-04-01,69.75
1995-05-01,70.57
1995-06-01,72.80
1995-07-01,67.98
1995-08-01,71.98
1995-09-01,73.92
1995-10-01,73.44
1995-11-01,72.16
1995-12-01,70.98
1996-01-01,69.86
1996-02-01,72.54
1996-03-01,73.57
1996-04-01,73.17
1996-05-01,74.02
1996-06-01,76.86
1996-07-01,72.27
1996-08-01,76.41
1996-09-01,78.53
1996-10-01,77.95
1996-11-01,77.26
1996-12-01,76.18
1997-01-01,75.71
1997-02-01,78.44
1997-03-01,80.20
1997-04-01,79.60
1997-05-01,79.88
1997-06-01,81.97
1997-07-01,76.84
1997-08-01,82.25
1997-09-01,84.62
1997-10-01,85.18
1997-11-01,85.26
1997-12-01,84.15
1998-01-01,83.58
1998-02-01,85.70
1998-03-01,86.85
1998-04-01,85.05
1998-05-01,86.44
1998-06-01,86.97
1998-07-01,82.06
1998-08-01,87.71
1998-09-01,88.35
1998-10-01,89.88
1998-11-01,88.79
1998-12-01,87.87
1999-01-01,87.13
1999-02-01,89.58
1999-03-01,91.31
1999-04-01,89.83
1999-05-01,90.99
1999-06-01,92.64
1999-07-01,86.84
1999-08-01,92.07
1999-09-01,92.56
1999-10-01,94.45
1999-11-01,93.57
1999-12-01,92.51
2000-01-01,91.85
2000-02-01,93.70
2000-03-01,96.31
2000-04-01,95.13
2000-05-01,95.33
2000-06-01,97.98
2000-07-01,91.46
2000-08-01,95.63
2000-09-01,97.36
2000-10-01,97.14
2000-11-01,95.46
2000-12-01,93.57
2001-01-01,91.68
2001-02-01,93.30
2001-03-01,94.95
2001-04-01,91.73
2001-05-01,92.68
2001-06-01,94.23
2001-07-01,87.63
2001-08-01,91.83
2001-09-01,92.43
2001-10-01,91.89
2001-11-01,90.17
2001-12-01,88.68
2002-01-01,88.52
2002-02-01,90.40
2002-03-01,92.61
2002-04-01,92.00
2002-05-01,92.55
2002-06-01,95.88
2002-07-01,88.73
2002-08-01,94.12
2002-09-01,95.35
2002-10-01,94.86
2002-11-01,93.36
2002-12-01,90.99
2003-01-01,91.03
2003-02-01,93.30
2003-03-01,95.23
2003-04-01,92.72
2003-05-01,93.40
2003-06-01,95.96
2003-07-01,89.14
2003-08-01,94.59
2003-09-01,96.46
2003-10-01,96.11
2003-11-01,95.57
2003-12-01,93.37
2004-01-01,92.32
2004-02-01,95.67
2004-03-01,97.24
2004-04-01,95.60
2004-05-01,97.16
2004-06-01,98.76
2004-07-01,93.49
2004-08-01,98.54
