Date,DRCCLACBN
1991-01-01,5.31
1991-04-01,5.35
1991-07-01,5.43
1991-10-01,5.32
1992-01-01,5.32
1992-04-01,4.97
1992-07-01,5.05
1992-10-01,4.70
1993-01-01,4.64
1993-04-01,4.34
1993-07-01,4.15
1993-10-01,3.92
1994-01-01,3.63
1994-04-01,3.19
1994-07-01,3.30
1994-10-01,3.31
1995-01-01,3.50
1995-04-01,3.59
1995-07-01,3.92
1995-10-01,4.00
1996-01-01,4.05
1996-04-01,4.12
1996-07-01,4.54
1996-10-01,4.69
1997-01-01,4.68
1997-04-01,4.56
1997-07-01,4.79
1997-10-01,4.92
1998-01-01,4.73
1998-04-01,4.59
1998-07-01,4.82
1998-10-01,4.85
1999-01-01,4.62
1999-04-01,4.40
1999-07-01,4.70
1999-10-01,4.67
2000-01-01,4.38
2000-04-01,4.34
2000-07-01,4.62
2000-10-01,4.71
2001-01-01,4.75
2001-04-01,4.75
2001-07-01,5.09
2001-10-01,4.86
2002-01-01,4.85
2002-04-01,4.61
2002-07-01,4.96
2002-10-01,5.05
2003-01-01,4.57
2003-04-01,4.38
2003-07-01,4.29
2003-10-01,4.62
2004-01-01,4.10
2004-04-01,4.02
2004-07-01,4.12
2004-10-01,4.20
2005-01-01,3.62
2005-04-01,3.56
2005-07-01,3.95
2005-10-01,3.65
2006-01-01,3.80
2006-04-01,4.01
2006-07-01,4.17
2006-10-01,4.05
2007-01-01,3.96
2007-04-01,3.90
2007-07-01,4.45
2007-10-01,4.68
2008-01-01,4.80
2008-04-01,4.74
2008-07-01,4.83
2008-10-01,5.72
2009-01-01,6.61
2009-04-01,6.53
2009-07-01,6.51
2009-10-01,6.43
2010-01-01,5.88
2010-04-01,4.90
2010-07-01,4.59
2010-10-01,4.22
2011-01-01,3.89
2011-04-01,3.50
2011-07-01,3.47
2011-10-01,3.32
2012-01-01,3.10
2012-04-01,2.79
2012-07-01,2.84
2012-10-01,2.78
2013-01-01,2.67
2013-04-01,2.41
2013-07-01,2.47
2013-10-01,2.45
2014-01-01,2.33
2014-04-01,2.15
2014-07-01,2.23
2014-10-01,2.22
2015-01-01,2.13
2015-04-01,2.01
2015-07-01,2.18
2015-10-01,2.23
2016-01-01,2.16
2016-04-01,2.09
2016-07-01,2.33
2016-10-01,2.44
2017-01-01,2.42
2017-04-01,2.35
2017-07-01,2.57
2017-10-01,2.56
2018-01-01,2.54
