Date,CPIAPPNS
1914-12-01,15.00
1915-12-01,15.60
1916-12-01,17.90
1917-12-01,22.20
1918-12-01,31.80
1919-06-01,34.40
1919-12-01,42.60
1920-06-01,45.00
1920-12-01,40.30
1921-05-01,34.70
1921-09-01,30.00
1921-12-01,28.60
1922-03-01,27.30
1922-06-01,26.80
1922-09-01,26.60
1922-12-01,26.60
1923-03-01,27.00
1923-06-01,27.00
1923-09-01,27.20
1923-12-01,27.20
1924-03-01,27.10
1924-06-01,26.90
1924-09-01,26.60
1924-12-01,26.40
1925-06-01,26.40
1925-12-01,26.20
1926-06-01,25.90
1926-12-01,25.70
1927-06-01,25.40
1927-12-01,25.10
1928-06-01,25.00
1928-12-01,24.90
1929-06-01,24.70
1929-12-01,24.60
1930-06-01,24.50
1930-12-01,23.50
1931-06-01,22.20
1931-12-01,20.60
1932-06-01,19.50
1932-12-01,18.60
1933-06-01,18.20
1933-12-01,20.20
1934-06-01,20.70
1934-11-01,20.70
1935-03-01,20.80
1935-07-01,20.70
1935-10-01,20.90
1936-01-01,21.00
1936-04-01,21.00
1936-07-01,20.90
1936-09-01,21.00
1936-12-01,21.30
1937-03-01,21.70
1937-06-01,22.00
1937-09-01,22.50
1937-12-01,22.50
1938-03-01,22.10
1938-06-01,21.90
1938-09-01,21.70
1938-12-01,21.70
1939-03-01,21.60
1939-06-01,21.60
1939-09-01,21.60
1939-12-01,21.70
1940-03-01,21.90
1940-06-01,21.80
1940-09-01,21.80
1940-10-01,21.80
1940-11-01,21.80
1940-12-01,21.80
1941-01-01,21.60
1941-02-01,21.60
1941-03-01,21.90
1941-04-01,22.00
1941-05-01,22.00
1941-06-01,22.20
1941-07-01,22.50
1941-08-01,22.90
1941-09-01,23.80
1941-10-01,24.20
1941-11-01,24.50
1941-12-01,24.60
1942-01-01,24.90
1942-02-01,25.50
1942-03-01,26.60
1942-04-01,27.20
1942-05-01,27.10
1942-06-01,26.90
1942-07-01,26.90
1942-08-01,26.90
1942-09-01,27.10
1942-10-01,27.10
1942-11-01,27.10
1942-12-01,27.10
1943-01-01,27.10
1943-02-01,27.10
1943-03-01,27.40
1943-04-01,27.50
1943-05-01,27.50
1943-06-01,27.50
1943-07-01,27.70
1943-08-01,27.80
1943-09-01,28.40
1943-10-01,28.60
1943-11-01,28.70
1943-12-01,29.00
1944-01-01,29.00
1944-02-01,29.10
1944-03-01,29.40
1944-04-01,29.50
1944-05-01,29.50
1944-06-01,29.70
1944-07-01,29.70
1944-08-01,30.00
1944-09-01,30.30
1944-10-01,30.40
1944-11-01,30.50
1944-12-01,30.60
1945-01-01,30.70
1945-02-01,30.80
1945-03-01,30.80
1945-04-01,30.90
1945-05-01,31.00
1945-06-01,31.20
1945-07-01,31.40
1945-08-01,31.50
1945-09-01,31.90
1945-10-01,31.90
1945-11-01,31.90
1945-12-01,32.10
1946-01-01,32.20
1946-02-01,32.30
1946-03-01,32.90
1946-04-01,33.20
1946-05-01,33.40
1946-06-01,33.70
1946-07-01,34.10
1946-08-01,34.60
1946-09-01,35.60
1946-10-01,36.10
1946-11-01,36.70
1946-12-01,37.90
1947-01-01,38.40
1947-02-01,38.90
1947-03-01,39.50
1947-04-01,39.70
1947-05-01,39.70
1947-06-01,39.90
1947-07-01,39.60
1947-08-01,39.90
1947-09-01,40.30
1947-10-01,40.60
1947-11-01,40.80
1947-12-01,41.00
1948-01-01,41.30
1948-02-01,41.90
1948-03-01,42.10
1948-04-01,42.20
1948-05-01,42.40
1948-06-01,42.30
1948-07-01,42.30
1948-08-01,42.90
1948-09-01,43.10
1948-10-01,43.30
1948-11-01,43.20
1948-12-01,43.10
1949-01-01,42.20
1949-02-01,41.90
1949-03-01,41.70
1949-04-01,41.30
1949-05-01,41.10
1949-06-01,40.90
1949-07-01,40.50
1949-08-01,40.20
1949-09-01,40.20
1949-10-01,40.10
1949-11-01,40.00
1949-12-01,39.90
1950-01-01,39.70
1950-02-01,39.70
1950-03-01,39.80
1950-04-01,39.70
1950-05-01,39.60
1950-06-01,39.60
1950-07-01,39.60
1950-08-01,39.90
1950-09-01,40.70
1950-10-01,41.40
1950-11-01,41.70
1950-12-01,42.00
1951-01-01,42.60
1951-02-01,43.40
1951-03-01,43.60
1951-04-01,43.70
1951-05-01,43.80
1951-06-01,43.80
1951-07-01,43.70
1951-08-01,43.70
1951-09-01,44.90
1951-10-01,44.90
1951-11-01,44.60
1951-12-01,44.40
1952-01-01,43.90
1952-02-01,43.90
1952-03-01,43.70
1952-04-01,43.50
1952-05-01,43.50
1952-06-01,43.40
1952-07-01,43.20
1952-08-01,43.10
1952-09-01,43.50
1952-10-01,43.40
1952-11-01,43.20
1952-12-01,43.10
1953-01-01,43.00
1953-02-01,43.00
1953-03-01,43.00
1953-04-01,43.00
1953-05-01,43.10
1953-06-01,43.10
1953-07-01,43.10
1953-08-01,43.00
1953-09-01,43.40
1953-10-01,43.50
1953-11-01,43.50
1953-12-01,43.40
1954-01-01,43.20
1954-02-01,43.10
1954-03-01,43.00
1954-04-01,42.90
1954-05-01,43.00
1954-06-01,43.00
1954-07-01,42.90
1954-08-01,42.80
1954-09-01,43.00
1954-10-01,43.10
1954-11-01,43.10
1954-12-01,43.10
1955-01-01,42.70
1955-02-01,42.70
1955-03-01,42.70
1955-04-01,42.60
1955-05-01,42.70
1955-06-01,42.70
1955-07-01,42.70
1955-08-01,42.80
1955-09-01,43.20
1955-10-01,43.20
1955-11-01,43.30
1955-12-01,43.30
1956-01-01,43.20
1956-02-01,43.40
1956-03-01,43.40
1956-04-01,43.50
1956-05-01,43.50
1956-06-01,43.50
1956-07-01,43.60
1956-08-01,43.70
