Date,RTWVDFL684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.67
1988-03-01,98.76
1988-04-01,98.18
1988-05-01,98.15
1988-06-01,98.40
1988-07-01,97.81
1988-08-01,97.32
1988-09-01,100.23
1988-10-01,97.85
1988-11-01,95.77
1988-12-01,94.62
1989-01-01,95.24
1989-02-01,95.22
1989-03-01,101.02
1989-04-01,100.41
1989-05-01,101.42
1989-06-01,102.11
1989-07-01,100.39
1989-08-01,100.59
1989-09-01,100.75
1989-10-01,99.85
1989-11-01,100.56
1989-12-01,99.82
1990-01-01,98.74
1990-02-01,99.21
1990-03-01,99.70
1990-04-01,100.10
1990-05-01,99.46
1990-06-01,99.19
1990-07-01,97.71
1990-08-01,98.29
1990-09-01,99.08
1990-10-01,97.44
1990-11-01,96.24
1990-12-01,95.66
1991-01-01,95.91
1991-02-01,96.42
1991-03-01,97.64
1991-04-01,98.12
1991-05-01,98.36
1991-06-01,98.83
1991-07-01,98.91
1991-08-01,98.02
1991-09-01,97.71
1991-10-01,97.82
1991-11-01,97.13
1991-12-01,95.92
1992-01-01,95.53
1992-02-01,95.57
1992-03-01,96.06
1992-04-01,95.13
1992-05-01,94.20
1992-06-01,93.60
1992-07-01,92.80
1992-08-01,92.05
1992-09-01,92.90
1992-10-01,94.73
1992-11-01,96.40
1992-12-01,95.95
1993-01-01,96.02
1993-02-01,96.08
1993-03-01,96.21
1993-04-01,95.26
1993-05-01,95.12
1993-06-01,95.23
1993-07-01,95.69
1993-08-01,95.83
1993-09-01,95.51
1993-10-01,95.70
1993-11-01,96.08
1993-12-01,95.80
1994-01-01,97.05
1994-02-01,96.59
1994-03-01,96.49
1994-04-01,96.27
1994-05-01,96.12
1994-06-01,94.42
1994-07-01,94.53
1994-08-01,93.31
1994-09-01,92.40
1994-10-01,91.54
1994-11-01,90.70
1994-12-01,90.57
1995-01-01,90.89
1995-02-01,90.24
1995-03-01,90.06
1995-04-01,88.48
1995-05-01,87.45
1995-06-01,87.19
1995-07-01,86.77
1995-08-01,87.52
1995-09-01,87.91
1995-10-01,87.95
1995-11-01,88.06
1995-12-01,89.26
1996-01-01,90.07
1996-02-01,89.49
1996-03-01,89.39
1996-04-01,89.89
1996-05-01,90.55
1996-06-01,90.12
1996-07-01,89.48
1996-08-01,88.92
1996-09-01,88.96
1996-10-01,88.85
1996-11-01,88.18
1996-12-01,88.09
1997-01-01,88.52
1997-02-01,89.01
1997-03-01,89.23
1997-04-01,89.12
1997-05-01,88.52
1997-06-01,88.36
1997-07-01,88.47
1997-08-01,89.00
1997-09-01,89.32
1997-10-01,89.52
1997-11-01,90.08
1997-12-01,90.76
1998-01-01,91.26
1998-02-01,90.90
1998-03-01,90.83
1998-04-01,90.96
1998-05-01,91.14
1998-06-01,91.82
1998-07-01,92.09
1998-08-01,93.08
1998-09-01,93.53
1998-10-01,92.96
1998-11-01,92.67
1998-12-01,92.24
1999-01-01,94.90
1999-02-01,98.18
1999-03-01,98.53
1999-04-01,97.40
1999-05-01,97.25
1999-06-01,98.48
1999-07-01,99.21
1999-08-01,99.42
1999-09-01,100.02
1999-10-01,99.95
1999-11-01,99.78
1999-12-01,98.93
2000-01-01,98.51
2000-02-01,99.10
2000-03-01,99.37
2000-04-01,99.77
2000-05-01,101.53
2000-06-01,101.36
2000-07-01,101.17
2000-08-01,101.18
2000-09-01,102.13
2000-10-01,103.09
2000-11-01,103.75
2000-12-01,102.95
2001-01-01,103.06
2001-02-01,103.81
2001-03-01,105.17
2001-04-01,106.08
2001-05-01,106.79
2001-06-01,107.51
2001-07-01,107.94
2001-08-01,107.43
2001-09-01,109.20
2001-10-01,109.57
2001-11-01,108.15
2001-12-01,106.10
2002-01-01,106.94
2002-02-01,108.86
2002-03-01,108.57
2002-04-01,107.62
2002-05-01,108.79
2002-06-01,111.09
2002-07-01,112.34
2002-08-01,114.14
2002-09-01,115.93
2002-10-01,118.27
2002-11-01,115.61
2002-12-01,114.85
2003-01-01,114.30
2003-02-01,115.16
2003-03-01,113.99
2003-04-01,111.68
2003-05-01,108.53
2003-06-01,108.51
2003-07-01,109.36
2003-08-01,110.59
2003-09-01,109.23
2003-10-01,107.85
2003-11-01,107.41
2003-12-01,105.65
2004-01-01,104.72
2004-02-01,106.37
2004-03-01,106.53
2004-04-01,106.57
2004-05-01,109.11
2004-06-01,108.71
2004-07-01,106.79
2004-08-01,105.85
2004-09-01,104.54
2004-10-01,103.07
2004-11-01,100.67
2004-12-01,98.91
2005-01-01,98.90
