Date,CPILFENS
1957-01-01,28.50
1957-02-01,28.50
1957-03-01,28.70
1957-04-01,28.80
1957-05-01,28.80
1957-06-01,28.90
1957-07-01,28.90
1957-08-01,29.00
1957-09-01,29.10
1957-10-01,29.20
1957-11-01,29.40
1957-12-01,29.40
1958-01-01,29.40
1958-02-01,29.40
1958-03-01,29.50
1958-04-01,29.50
1958-05-01,29.50
1958-06-01,29.50
1958-07-01,29.60
1958-08-01,29.60
1958-09-01,29.60
1958-10-01,29.70
1958-11-01,29.90
1958-12-01,29.90
1959-01-01,29.90
1959-02-01,29.90
1959-03-01,30.00
1959-04-01,30.00
1959-05-01,30.10
1959-06-01,30.10
1959-07-01,30.20
1959-08-01,30.20
1959-09-01,30.30
1959-10-01,30.50
1959-11-01,30.50
1959-12-01,30.50
1960-01-01,30.50
1960-02-01,30.60
1960-03-01,30.60
1960-04-01,30.60
1960-05-01,30.60
1960-06-01,30.60
1960-07-01,30.60
1960-08-01,30.60
1960-09-01,30.60
1960-10-01,30.80
1960-11-01,30.80
1960-12-01,30.80
1961-01-01,30.80
1961-02-01,30.80
1961-03-01,30.80
1961-04-01,30.90
1961-05-01,30.90
1961-06-01,30.90
1961-07-01,31.00
1961-08-01,31.00
1961-09-01,31.10
1961-10-01,31.20
1961-11-01,31.20
1961-12-01,31.20
1962-01-01,31.20
1962-02-01,31.20
1962-03-01,31.30
1962-04-01,31.30
1962-05-01,31.40
1962-06-01,31.40
1962-07-01,31.40
1962-08-01,31.40
1962-09-01,31.50
1962-10-01,31.60
1962-11-01,31.60
1962-12-01,31.60
1963-01-01,31.50
1963-02-01,31.50
1963-03-01,31.60
1963-04-01,31.70
1963-05-01,31.70
1963-06-01,31.80
1963-07-01,31.80
1963-08-01,31.90
1963-09-01,31.90
1963-10-01,32.00
1963-11-01,32.10
1963-12-01,32.10
1964-01-01,32.10
1964-02-01,32.10
1964-03-01,32.20
1964-04-01,32.20
1964-05-01,32.20
1964-06-01,32.30
1964-07-01,32.30
1964-08-01,32.20
1964-09-01,32.30
1964-10-01,32.40
1964-11-01,32.50
1964-12-01,32.50
1965-01-01,32.60
1965-02-01,32.60
1965-03-01,32.60
1965-04-01,32.70
1965-05-01,32.70
1965-06-01,32.70
1965-07-01,32.70
1965-08-01,32.70
1965-09-01,32.80
1965-10-01,32.90
1965-11-01,32.90
1965-12-01,33.00
1966-01-01,32.90
1966-02-01,33.00
1966-03-01,33.10
1966-04-01,33.30
1966-05-01,33.40
1966-06-01,33.50
1966-07-01,33.60
1966-08-01,33.70
1966-09-01,33.80
1966-10-01,34.00
1966-11-01,34.10
1966-12-01,34.10
1967-01-01,34.10
1967-02-01,34.20
1967-03-01,34.30
1967-04-01,34.40
1967-05-01,34.50
1967-06-01,34.60
1967-07-01,34.70
1967-08-01,34.80
1967-09-01,35.00
1967-10-01,35.20
1967-11-01,35.30
1967-12-01,35.40
1968-01-01,35.50
1968-02-01,35.60
1968-03-01,35.80
1968-04-01,35.90
1968-05-01,36.00
1968-06-01,36.20
1968-07-01,36.40
1968-08-01,36.50
1968-09-01,36.70
1968-10-01,36.90
1968-11-01,37.10
1968-12-01,37.20
1969-01-01,37.30
1969-02-01,37.50
1969-03-01,37.80
1969-04-01,38.10
1969-05-01,38.20
1969-06-01,38.30
1969-07-01,38.50
1969-08-01,38.60
1969-09-01,38.90
1969-10-01,39.10
1969-11-01,39.30
1969-12-01,39.50
1970-01-01,39.60
1970-02-01,39.80
1970-03-01,40.10
1970-04-01,40.30
1970-05-01,40.50
1970-06-01,40.80
1970-07-01,40.90
1970-08-01,41.00
1970-09-01,41.30
1970-10-01,41.60
1970-11-01,41.90
1970-12-01,42.10
1971-01-01,42.10
1971-02-01,42.10
1971-03-01,42.20
1971-04-01,42.30
1971-05-01,42.60
1971-06-01,42.80
1971-07-01,42.90
1971-08-01,42.90
1971-09-01,43.10
1971-10-01,43.20
1971-11-01,43.30
1971-12-01,43.40
1972-01-01,43.40
1972-02-01,43.50
1972-03-01,43.60
1972-04-01,43.70
1972-05-01,43.90
1972-06-01,44.00
1972-07-01,44.10
1972-08-01,44.30
1972-09-01,44.30
1972-10-01,44.50
1972-11-01,44.60
1972-12-01,44.70
1973-01-01,44.60
1973-02-01,44.70
1973-03-01,44.90
1973-04-01,45.10
1973-05-01,45.30
1973-06-01,45.40
1973-07-01,45.50
1973-08-01,45.70
1973-09-01,46.00
1973-10-01,46.40
1973-11-01,46.60
1973-12-01,46.80
1974-01-01,46.80
1974-02-01,47.10
1974-03-01,47.50
1974-04-01,47.90
1974-05-01,48.40
1974-06-01,49.00
1974-07-01,49.50
1974-08-01,50.10
1974-09-01,50.70
1974-10-01,51.30
1974-11-01,51.80
1974-12-01,52.00
1975-01-01,52.20
1975-02-01,52.60
1975-03-01,52.90
1975-04-01,53.30
1975-05-01,53.50
1975-06-01,53.70
1975-07-01,54.00
1975-08-01,54.20
1975-09-01,54.60
1975-10-01,54.90
1975-11-01,55.30
1975-12-01,55.50
1976-01-01,55.70
1976-02-01,56.00
1976-03-01,56.40
1976-04-01,56.70
1976-05-01,57.00
1976-06-01,57.20
1976-07-01,57.60
1976-08-01,57.90
1976-09-01,58.30
1976-10-01,58.60
1976-11-01,58.90
1976-12-01,58.90
1977-01-01,59.20
1977-02-01,59.50
1977-03-01,59.90
1977-04-01,60.30
1977-05-01,60.60
1977-06-01,61.00
1977-07-01,61.20
1977-08-01,61.50
1977-09-01,61.90
1977-10-01,62.10
1977-11-01,62.40
1977-12-01,62.70
1978-01-01,63.00
1978-02-01,63.20
1978-03-01,63.70
1978-04-01,64.20
1978-05-01,64.70
1978-06-01,65.30
1978-07-01,65.70
1978-08-01,66.10
1978-09-01,66.80
1978-10-01,67.30
1978-11-01,67.80
1978-12-01,68.00
1979-01-01,68.40
1979-02-01,69.00
1979-03-01,69.60
1979-04-01,70.20
1979-05-01,70.80
1979-06-01,71.40
1979-07-01,72.00
1979-08-01,72.70
1979-09-01,73.40
1979-10-01,74.10
1979-11-01,75.00
1979-12-01,75.70
1980-01-01,76.60
1980-02-01,77.30
1980-03-01,78.30
1980-04-01,79.30
1980-05-01,80.20
1980-06-01,81.10
1980-07-01,80.90
1980-08-01,81.30
1980-09-01,82.20
1980-10-01,83.20
1980-11-01,84.10
1980-12-01,84.90
1981-01-01,85.30
1981-02-01,85.70
1981-03-01,86.10
1981-04-01,86.80
1981-05-01,87.80
1981-06-01,88.70
1981-07-01,89.90
1981-08-01,90.70
1981-09-01,91.90
1981-10-01,92.30
1981-11-01,92.70
1981-12-01,93.00
1982-01-01,93.20
1982-02-01,93.50
1982-03-01,93.70
1982-04-01,94.50
1982-05-01,95.40
1982-06-01,96.30
1982-07-01,96.70
1982-08-01,97.10
1982-09-01,97.30
1982-10-01,97.70
1982-11-01,97.60
1982-12-01,97.20
1983-01-01,97.60
1983-02-01,97.90
1983-03-01,98.10
1983-04-01,98.60
1983-05-01,98.80
1983-06-01,99.10
1983-07-01,99.60
1983-08-01,100.00
1983-09-01,100.70
1983-10-01,101.30
1983-11-01,101.80
1983-12-01,101.90
1984-01-01,102.30
1984-02-01,102.60
1984-03-01,103.00
1984-04-01,103.50
1984-05-01,103.90
1984-06-01,104.20
1984-07-01,104.60
1984-08-01,105.10
1984-09-01,105.80
1984-10-01,106.30
1984-11-01,106.50
1984-12-01,106.70
1985-01-01,106.90
1985-02-01,107.40
1985-03-01,107.90
1985-04-01,108.20
1985-05-01,108.60
1985-06-01,108.80
1985-07-01,109.00
1985-08-01,109.40
1985-09-01,110.00
1985-10-01,110.70
1985-11-01,111.20
1985-12-01,111.30
1986-01-01,111.60
1986-02-01,111.90
1986-03-01,112.30
1986-04-01,112.70
1986-05-01,112.90
1986-06-01,113.10
1986-07-01,113.50
1986-08-01,113.80
1986-09-01,114.50
1986-10-01,115.10
1986-11-01,115.40
1986-12-01,115.50
1987-01-01,115.80
1987-02-01,116.10
1987-03-01,116.80
1987-04-01,117.40
1987-05-01,117.60
1987-06-01,117.70
1987-07-01,118.00
1987-08-01,118.60
1987-09-01,119.40
1987-10-01,120.10
1987-11-01,120.50
1987-12-01,120.40
1988-01-01,120.80
1988-02-01,121.10
1988-03-01,121.90
1988-04-01,122.40
1988-05-01,122.70
1988-06-01,123.00
1988-07-01,123.30
1988-08-01,123.80
1988-09-01,124.70
1988-10-01,125.50
1988-11-01,125.80
1988-12-01,126.00
1989-01-01,126.40
1989-02-01,126.90
1989-03-01,127.60
1989-04-01,128.00
1989-05-01,128.30
1989-06-01,128.50
1989-07-01,129.00
1989-08-01,129.30
1989-09-01,130.00
1989-10-01,130.90
1989-11-01,131.30
1989-12-01,131.50
1990-01-01,132.00
1990-02-01,132.80
1990-03-01,133.90
1990-04-01,134.20
1990-05-01,134.40
1990-06-01,134.80
1990-07-01,135.50
1990-08-01,136.40
1990-09-01,137.20
1990-10-01,137.80
1990-11-01,138.20
1990-12-01,138.30
1991-01-01,139.40
1991-02-01,140.30
1991-03-01,140.90
1991-04-01,141.10
1991-05-01,141.30
1991-06-01,141.50
1991-07-01,142.00
1991-08-01,142.70
1991-09-01,143.40
1991-10-01,143.90
1991-11-01,144.40
1991-12-01,144.40
1992-01-01,144.90
1992-02-01,145.60
1992-03-01,146.40
1992-04-01,146.60
1992-05-01,146.70
1992-06-01,146.90
