Date,CPILFENS
1992-07-01,147.30
1992-08-01,147.70
1992-09-01,148.10
1992-10-01,149.00
1992-11-01,149.30
1992-12-01,149.20
1993-01-01,149.90
1993-02-01,150.80
1993-03-01,151.40
1993-04-01,151.70
1993-05-01,151.70
1993-06-01,151.80
1993-07-01,152.00
1993-08-01,152.60
1993-09-01,152.90
1993-10-01,153.50
1993-11-01,153.90
1993-12-01,153.90
1994-01-01,154.30
1994-02-01,155.00
1994-03-01,155.80
1994-04-01,155.90
1994-05-01,156.00
1994-06-01,156.20
1994-07-01,156.40
1994-08-01,157.00
1994-09-01,157.50
1994-10-01,158.00
1994-11-01,158.20
1994-12-01,157.90
1995-01-01,158.70
1995-02-01,159.60
1995-03-01,160.40
1995-04-01,160.70
1995-05-01,160.80
1995-06-01,160.90
1995-07-01,161.10
1995-08-01,161.60
1995-09-01,162.10
1995-10-01,162.80
1995-11-01,163.00
1995-12-01,162.70
1996-01-01,163.40
1996-02-01,164.20
1996-03-01,164.90
1996-04-01,165.00
1996-05-01,165.10
1996-06-01,165.20
1996-07-01,165.50
1996-08-01,165.80
1996-09-01,166.40
1996-10-01,167.00
1996-11-01,167.20
1996-12-01,167.00
1997-01-01,167.50
1997-02-01,168.30
1997-03-01,169.00
1997-04-01,169.40
1997-05-01,169.30
1997-06-01,169.20
1997-07-01,169.50
1997-08-01,169.60
1997-09-01,170.00
1997-10-01,170.80
1997-11-01,170.80
1997-12-01,170.70
1998-01-01,171.20
1998-02-01,172.10
1998-03-01,172.60
1998-04-01,173.00
1998-05-01,173.10
1998-06-01,173.00
1998-07-01,173.30
1998-08-01,173.80
1998-09-01,174.20
1998-10-01,174.70
1998-11-01,174.80
1998-12-01,174.80
1999-01-01,175.30
1999-02-01,175.70
1999-03-01,176.20
1999-04-01,176.80
1999-05-01,176.60
1999-06-01,176.60
1999-07-01,176.90
1999-08-01,177.10
1999-09-01,177.70
1999-10-01,178.30
1999-11-01,178.40
1999-12-01,178.20
2000-01-01,178.80
2000-02-01,179.50
2000-03-01,180.50
2000-04-01,180.90
2000-05-01,180.90
2000-06-01,181.00
2000-07-01,181.30
2000-08-01,181.70
2000-09-01,182.30
2000-10-01,182.80
2000-11-01,183.00
2000-12-01,182.80
2001-01-01,183.50
2001-02-01,184.40
2001-03-01,185.30
2001-04-01,185.60
2001-05-01,185.50
2001-06-01,185.90
2001-07-01,186.20
2001-08-01,186.60
2001-09-01,187.10
2001-10-01,187.60
2001-11-01,188.10
2001-12-01,187.80
2002-01-01,188.20
2002-02-01,189.20
2002-03-01,189.80
2002-04-01,190.30
2002-05-01,190.20
2002-06-01,190.10
2002-07-01,190.30
2002-08-01,191.00
2002-09-01,191.30
2002-10-01,191.80
2002-11-01,191.80
2002-12-01,191.40
2003-01-01,191.80
2003-02-01,192.50
2003-03-01,193.00
2003-04-01,193.10
2003-05-01,193.20
2003-06-01,193.00
2003-07-01,193.20
2003-08-01,193.50
2003-09-01,193.60
2003-10-01,194.30
2003-11-01,193.90
2003-12-01,193.60
2004-01-01,194.00
2004-02-01,194.90
2004-03-01,196.10
2004-04-01,196.50
2004-05-01,196.50
2004-06-01,196.60
2004-07-01,196.60
2004-08-01,196.80
2004-09-01,197.40
2004-10-01,198.20
2004-11-01,198.10
2004-12-01,197.80
2005-01-01,198.40
2005-02-01,199.50
2005-03-01,200.70
2005-04-01,200.90
2005-05-01,200.80
2005-06-01,200.60
2005-07-01,200.80
2005-08-01,201.00
2005-09-01,201.30
2005-10-01,202.30
2005-11-01,202.30
2005-12-01,202.10
2006-01-01,202.60
2006-02-01,203.60
2006-03-01,204.90
2006-04-01,205.50
2006-05-01,205.70
2006-06-01,205.90
2006-07-01,206.20
2006-08-01,206.70
2006-09-01,207.20
2006-10-01,207.80
2006-11-01,207.60
2006-12-01,207.30
2007-01-01,208.01
2007-02-01,209.11
2007-03-01,209.92
2007-04-01,210.31
2007-05-01,210.32
2007-06-01,210.47
2007-07-01,210.76
2007-08-01,211.11
2007-09-01,211.63
2007-10-01,212.32
2007-11-01,212.44
2007-12-01,212.36
2008-01-01,213.14
2008-02-01,213.87
2008-03-01,214.87
2008-04-01,215.06
2008-05-01,215.18
2008-06-01,215.55
2008-07-01,216.05
2008-08-01,216.48
2008-09-01,216.86
2008-10-01,217.02
2008-11-01,216.69
2008-12-01,216.10
2009-01-01,216.72
2009-02-01,217.69
2009-03-01,218.64
2009-04-01,219.14
2009-05-01,219.13
2009-06-01,219.28
2009-07-01,219.35
2009-08-01,219.60
2009-09-01,220.14
2009-10-01,220.73
2009-11-01,220.38
2009-12-01,220.03
2010-01-01,220.09
2010-02-01,220.60
2010-03-01,221.06
2010-04-01,221.17
2010-05-01,221.19
2010-06-01,221.27
2010-07-01,221.26
2010-08-01,221.55
2010-09-01,221.91
2010-10-01,222.08
2010-11-01,222.08
2010-12-01,221.80
2011-01-01,222.18
2011-02-01,223.01
2011-03-01,223.69
2011-04-01,224.12
2011-05-01,224.53
2011-06-01,224.89
2011-07-01,225.16
2011-08-01,225.87
2011-09-01,226.29
2011-10-01,226.74
2011-11-01,226.86
2011-12-01,226.74
2012-01-01,227.24
2012-02-01,227.87
2012-03-01,228.74
2012-04-01,229.30
2012-05-01,229.60
2012-06-01,229.88
2012-07-01,229.89
2012-08-01,230.20
2012-09-01,230.78
2012-10-01,231.28
2012-11-01,231.26
2012-12-01,231.03
2013-01-01,231.61
2013-02-01,232.43
2013-03-01,233.05
2013-04-01,233.24
2013-05-01,233.46
2013-06-01,233.64
2013-07-01,233.79
2013-08-01,234.26
2013-09-01,234.78
2013-10-01,235.16
2013-11-01,235.24
2013-12-01,235.00
2014-01-01,235.37
2014-02-01,236.08
2014-03-01,236.91
2014-04-01,237.51
2014-05-01,238.03
2014-06-01,238.16
2014-07-01,238.14
2014-08-01,238.30
2014-09-01,238.84
2014-10-01,239.41
2014-11-01,239.25
2014-12-01,238.78
2015-01-01,239.25
2015-02-01,240.08
2015-03-01,241.07
2015-04-01,241.80
2015-05-01,242.12
2015-06-01,242.35
2015-07-01,242.44
2015-08-01,242.65
2015-09-01,243.36
2015-10-01,243.99
2015-11-01,244.08
2015-12-01,243.78
2016-01-01,244.53
2016-02-01,245.68
2016-03-01,246.36
2016-04-01,246.99
2016-05-01,247.54
2016-06-01,247.79
2016-07-01,247.74
2016-08-01,248.28
2016-09-01,248.73
2016-10-01,249.22
2016-11-01,249.23
2016-12-01,249.13
2017-01-01,250.08
2017-02-01,251.14
2017-03-01,251.29
2017-04-01,251.64
2017-05-01,251.84
2017-06-01,252.01
2017-07-01,251.94
2017-08-01,252.46
2017-09-01,252.94
2017-10-01,253.64
2017-11-01,253.49
2017-12-01,253.56
2018-01-01,254.64
2018-02-01,255.78
2018-03-01,256.61
2018-04-01,257.03
2018-05-01,257.47
