Date,CPALTT01USQ657N
1960-01-01,-0.11
1960-04-01,0.57
1960-07-01,0.23
1960-10-01,0.68
1961-07-01,0.56
1961-10-01,0.11
1962-01-01,0.22
1962-04-01,0.44
1962-07-01,0.44
1962-10-01,0.22
1963-01-01,0.11
1963-04-01,0.33
1963-07-01,0.55
1963-10-01,0.43
1964-01-01,0.22
1964-04-01,0.11
1964-07-01,0.43
1964-10-01,0.32
1965-01-01,0.21
1965-04-01,0.75
1965-07-01,0.42
1965-10-01,0.42
1966-01-01,0.74
1966-04-01,1.15
1966-07-01,0.93
1966-10-01,0.82
1967-01-01,0.10
1967-04-01,0.81
1967-07-01,0.90
1967-10-01,0.90
1968-01-01,1.18
1968-04-01,0.97
1968-07-01,1.35
1968-10-01,1.14
1969-01-01,1.22
1969-04-01,1.67
1969-07-01,1.46
1969-10-01,1.44
1970-01-01,1.33
1970-04-01,1.67
1970-07-01,1.12
1970-10-01,1.37
1971-01-01,0.76
1971-04-01,1.09
1971-07-01,1.07
1971-10-01,0.49
1972-01-01,0.73
1972-04-01,0.81
1972-07-01,0.96
1972-10-01,0.95
1973-01-01,1.26
1973-04-01,2.25
1973-07-01,2.20
1973-10-01,2.30
1974-01-01,2.83
1974-04-01,2.82
1974-07-01,3.02
1974-10-01,3.00
1975-01-01,1.81
1975-04-01,1.53
1975-07-01,2.13
1975-10-01,1.59
1976-01-01,0.97
1976-04-01,1.26
1976-07-01,1.59
1976-10-01,1.16
1977-01-01,1.72
1977-04-01,2.20
1977-07-01,1.44
1977-10-01,1.09
1978-01-01,1.72
1978-04-01,2.54
1978-07-01,2.38
1978-10-01,2.02
1979-01-01,2.47
1979-04-01,3.47
1979-07-01,3.31
1979-10-01,2.84
1980-01-01,3.95
1980-04-01,3.67
1980-07-01,1.83
1980-10-01,2.64
1981-01-01,2.65
1981-04-01,2.32
1981-07-01,2.82
1981-10-01,1.44
1982-01-01,0.82
1982-04-01,1.52
1982-07-01,1.88
1982-10-01,0.24
1983-01-01,-0.07
1983-04-01,1.26
1983-07-01,1.18
1983-10-01,0.90
1984-01-01,1.12
1984-04-01,1.08
1984-07-01,1.10
1984-10-01,0.73
1985-01-01,0.63
1985-04-01,1.23
1985-07-01,0.71
1985-10-01,0.89
1986-01-01,0.21
1986-04-01,-0.21
1986-07-01,0.73
1986-10-01,0.55
1987-01-01,1.12
1987-04-01,1.31
1987-07-01,1.15
1987-10-01,0.84
1988-01-01,0.61
1988-04-01,1.26
1988-07-01,1.33
1988-10-01,1.04
1989-01-01,1.11
1989-04-01,1.64
1989-07-01,0.81
1989-10-01,0.96
1990-01-01,1.72
1990-04-01,1.02
1990-07-01,1.73
1990-10-01,1.62
1991-01-01,0.82
1991-04-01,0.59
1991-07-01,0.79
1991-10-01,0.76
1992-01-01,0.70
1992-04-01,0.82
1992-07-01,0.79
1992-10-01,0.71
1993-01-01,0.85
1993-04-01,0.77
1993-07-01,0.39
1993-10-01,0.69
1994-01-01,0.64
1994-04-01,0.64
1994-07-01,0.88
1994-10-01,0.47
1995-01-01,0.82
1995-04-01,0.88
1995-07-01,0.44
1995-10-01,0.48
1996-01-01,0.91
1996-04-01,0.99
1996-07-01,0.53
1996-10-01,0.72
1997-01-01,0.67
1997-04-01,0.40
1997-07-01,0.40
1997-10-01,0.39
1998-01-01,0.27
1998-04-01,0.54
1998-07-01,0.39
1998-10-01,0.35
1999-01-01,0.39
1999-04-01,0.97
1999-07-01,0.62
1999-10-01,0.62
2000-01-01,0.99
2000-04-01,1.06
2000-07-01,0.80
2000-10-01,0.54
2001-01-01,0.96
2001-04-01,1.04
2001-07-01,0.13
2001-10-01,-0.28
2002-01-01,0.36
2002-04-01,1.09
2002-07-01,0.43
2002-10-01,0.31
2003-01-01,1.01
2003-04-01,0.36
2003-07-01,0.49
2003-10-01,0.02
2004-01-01,0.90
2004-04-01,1.43
2004-07-01,0.35
2004-10-01,0.60
2005-01-01,0.63
2005-04-01,1.34
2005-07-01,1.22
2005-10-01,0.51
2006-01-01,0.54
2006-04-01,1.69
2006-07-01,0.56
2006-10-01,-0.85
2007-01-01,1.02
2007-04-01,1.92
2007-07-01,0.28
2007-10-01,0.71
2008-01-01,1.14
2008-04-01,2.20
2008-07-01,1.16
2008-10-01,-2.83
2009-01-01,-0.50
2009-04-01,1.06
2009-07-01,0.68
2009-10-01,0.20
2010-01-01,0.40
2010-04-01,0.48
2010-07-01,0.09
2010-10-01,0.29
2011-01-01,1.26
2011-04-01,1.74
2011-07-01,0.41
2011-10-01,-0.15
2012-01-01,0.80
2012-04-01,0.83
2012-07-01,0.22
2012-10-01,0.04
2013-01-01,0.59
2013-04-01,0.54
2013-07-01,0.38
2013-10-01,-0.28
2014-01-01,0.76
2014-04-01,1.18
2014-07-01,0.11
2014-10-01,-0.80
2015-01-01,-0.54
2015-04-01,1.21
2015-07-01,0.26
2015-10-01,-0.45
2016-01-01,0.06
2016-04-01,1.17
2016-07-01,0.33
2016-10-01,0.22
2017-01-01,0.79
2017-04-01,0.54
2017-07-01,0.40
2017-10-01,0.37
2018-01-01,0.89
