Date,USACPIHOUQINMEI
1983-01-01,38.98
1983-04-01,39.41
1983-07-01,39.90
1983-10-01,40.35
1984-01-01,40.75
1984-04-01,41.32
1984-07-01,41.97
1984-10-01,42.47
1985-01-01,42.94
1985-04-01,43.63
1985-07-01,44.41
1985-10-01,45.05
1986-01-01,45.54
1986-04-01,46.23
1986-07-01,46.76
1986-10-01,47.28
1987-01-01,47.75
1987-04-01,48.33
1987-07-01,48.95
1987-10-01,49.53
1988-01-01,50.18
1988-04-01,50.63
1988-07-01,51.36
1988-10-01,51.80
1989-01-01,52.35
1989-04-01,52.88
1989-07-01,53.76
1989-10-01,54.28
1990-01-01,54.98
1990-04-01,55.66
1990-07-01,57.01
1990-10-01,57.26
1991-01-01,58.11
1991-04-01,58.42
1991-07-01,59.14
1991-10-01,59.45
1992-01-01,60.21
1992-04-01,60.48
1992-07-01,61.11
1992-10-01,61.29
1993-01-01,62.01
1993-04-01,62.38
1993-07-01,62.93
1993-10-01,63.07
1994-01-01,63.93
1994-04-01,64.23
1994-07-01,64.87
1994-10-01,65.10
1995-01-01,65.81
1995-04-01,66.33
1995-07-01,67.02
1995-10-01,67.28
1996-01-01,68.10
1996-04-01,68.46
1996-07-01,69.18
1996-10-01,69.30
1997-01-01,70.13
1997-04-01,70.56
1997-07-01,71.25
1997-10-01,71.52
1998-01-01,72.39
1998-04-01,72.93
1998-07-01,73.65
1998-10-01,73.99
1999-01-01,74.61
1999-04-01,75.14
1999-07-01,75.71
1999-10-01,75.84
2000-01-01,76.89
2000-04-01,77.49
2000-07-01,78.23
2000-10-01,78.51
2001-01-01,79.51
2001-04-01,80.39
2001-07-01,81.24
2001-10-01,81.63
2002-01-01,82.85
2002-04-01,83.58
2002-07-01,84.18
2002-10-01,84.32
2003-01-01,85.09
2003-04-01,85.52
2003-07-01,86.07
2003-10-01,86.21
2004-01-01,87.04
2004-04-01,88.01
2004-07-01,88.59
2004-10-01,88.57
2005-01-01,89.57
2005-04-01,90.24
2005-07-01,90.63
2005-10-01,90.80
2006-01-01,91.90
2006-04-01,93.17
2006-07-01,94.18
2006-10-01,94.58
2007-01-01,95.77
2007-04-01,96.74
2007-07-01,97.51
2007-10-01,97.61
2008-01-01,98.64
2008-04-01,99.24
2008-07-01,99.87
2008-10-01,99.67
2009-01-01,100.26
2009-04-01,100.68
2009-07-01,100.69
2009-10-01,100.07
2010-01-01,99.85
2010-04-01,99.93
2010-07-01,100.08
2010-10-01,100.15
2011-01-01,100.60
2011-04-01,101.00
2011-07-01,101.63
2011-10-01,102.00
2012-01-01,102.65
2012-04-01,103.24
2012-07-01,103.79
2012-10-01,104.27
2013-01-01,104.92
2013-04-01,105.58
2013-07-01,106.24
2013-10-01,106.79
2014-01-01,107.67
2014-04-01,108.52
2014-07-01,109.31
2014-10-01,109.94
2015-01-01,110.83
2015-04-01,111.73
2015-07-01,112.74
2015-10-01,113.47
2016-01-01,114.45
2016-04-01,115.50
2016-07-01,116.58
2016-10-01,117.55
2017-01-01,118.51
2017-04-01,119.39
2017-07-01,120.37
2017-10-01,121.34
2018-01-01,122.34
