Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181231	12-31-2018	090741	CME 	00	090 	190149	58230	393	5438	31198	42606	8610	28901	63827	15874	9401	13212	1486	159138	151447	31011	38702	10395	5996	11	146	-774	2056	212	5077	7090	-739	7	605	25	9950	9408	445	987	100	30.6	0.2	2.9	16.4	22.4	4.5	15.2	33.6	8.3	4.9	6.9	0.8	83.7	79.6	16.3	20.4	118	9		6	11	18	8	20	43	23	8	7		66	91	30.9	19.3	49.6	30.8	29.9	19.3	46.9	29.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181224	12-24-2018	090741	CME 	00	090 	179754	52234	381	5292	31972	40550	8398	23824	56737	16613	9394	12607	1461	149188	142039	30566	37715	-30137	-167	-3574	-20429	2033	3488	659	-13250	10549	-237	-41	982	-263	-31694	-8825	1557	-21312	100	29.1	0.2	2.9	17.8	22.6	4.7	13.3	31.6	9.2	5.2	7	0.8	83	79	17	21	117	9		6	11	18	9	18	44	21	8	7		65	91	31.9	16.6	47.4	28.1	30.3	16.4	44.5	27	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181218	12-18-2018	090741	CME 	00	090 	209891	52401	3956	25721	29939	37062	7739	37074	46188	16850	9435	11625	1724	180882	150864	29009	59027	33002	16804	-1676	7982	-152	3908	-1096	8986	3275	1536	-738	30	427	33748	14385	-746	18617	100	25	1.9	12.3	14.3	17.7	3.7	17.7	22	8	4.5	5.5	0.8	86.2	71.9	13.8	28.1	111	10		8	10	18	8	19	35	20	8	8	4	66	85	30	19.1	51.1	28.4	25.8	11.9	42.9	20.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181211	12-11-2018	090741	CME 	00	090 	176889	35597	5632	17739	30091	33154	8835	28087	42913	15314	10173	11595	1297	147133	136478	29756	40411	4040	1563	235	1001	73	-407	1026	2559	350	-173	443	502	389	6881	2923	-2841	1117	100	20.1	3.2	10	17	18.7	5	15.9	24.3	8.7	5.8	6.6	0.7	83.2	77.2	16.8	22.8	114	7	5	8	11	18	9	22	34	21	10	7	4	70	86	30.4	16.8	46.9	27.9	25.7	14.5	38.1	24.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181204	12-4-2018	090741	CME 	00	090 	172849	34034	5397	16737	30019	33561	7809	25528	42563	15487	9730	11093	908	140252	133555	32597	39294	12166	7414	-883	4874	217	5717	626	-4381	-2243	2288	295	872	74	11405	11324	761	842	100	19.7	3.1	9.7	17.4	19.4	4.5	14.8	24.6	9	5.6	6.4	0.5	81.1	77.3	18.9	22.7	113	8	4	7	11	18	7	21	34	18	9	8		63	84	31.1	15.8	47.1	28.1	27.1	14.1	37.1	24.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181127	11-27-2018	090741	CME 	00	090 	160683	26620	6280	11863	29802	27844	7184	29910	44806	13200	9435	10221	834	128847	122231	31836	38452	1610	6148	-2473	-1787	-578	1928	73	613	2667	-2528	348	2106	-48	2241	-62	-631	1672	100	16.6	3.9	7.4	18.5	17.3	4.5	18.6	27.9	8.2	5.9	6.4	0.5	80.2	76.1	19.8	23.9	110	6	5	6	11	17	7	17	37	17	9	8		59	83	30.5	16.3	47.7	27.7	28.4	14	39.3	24.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181120	11-20-2018	090741	CME 	00	090 	159073	20472	8753	13650	30380	25916	7111	29296	42140	15728	9087	8114	881	126605	122293	32468	36780	23047	10307	-1628	6375	-3461	780	2362	1509	5146	4982	506	2802	58	22637	20876	410	2171	100	12.9	5.5	8.6	19.1	16.3	4.5	18.4	26.5	9.9	5.7	5.1	0.6	79.6	76.9	20.4	23.1	112	6	6	6	12	17	7	19	37	19	8	7	4	62	86	30.1	15.5	45.2	26.3	28	13.2	35.8	23.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181113	11-13-2018	090741	CME 	00	090 	136026	10166	10382	7275	33841	25136	4749	27787	36993	10747	8581	5312	824	103968	101417	32058	34609	4179	2947	-2013	956	633	901	-671	2148	1456	389	456	556	21	6880	1596	-2701	2583	100	7.5	7.6	5.3	24.9	18.5	3.5	20.4	27.2	7.9	6.3	3.9	0.6	76.4	74.6	23.6	25.4	107	6	6	6	13	17	6	16	34	17	9	6	5	60	81	31.8	15.6	42.5	27.1	30.7	14.1	38.2	25.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181106	11-6-2018	090741	CME 	00	090 	131847	7218	12394	6318	33208	24235	5419	25639	35538	10358	8125	4756	803	97088	99822	34759	32025	-5065	-6108	-170	1646	-2695	718	345	4088	-1838	-4732	586	-2106	-473	-7342	-6610	2277	1545	100	5.5	9.4	4.8	25.2	18.4	4.1	19.4	27	7.9	6.2	3.6	0.6	73.6	75.7	26.4	24.3	101	6	6	6	13	17	6	16	29	13	8	6	5	56	75	31.6	16.5	40	28.1	29.2	15.1	36.7	26.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	181030	10-30-2018	090741	CME 	00	090 	136912	13326	12564	4672	35902	23517	5075	21550	37376	15090	7539	6863	1275	104430	106431	32482	30481	-595	3142	-2218	309	-5049	3063	546	1028	-213	-1370	-158	691	64	-1488	871	893	-1466	100	9.7	9.2	3.4	26.2	17.2	3.7	15.7	27.3	11	5.5	5	0.9	76.3	77.7	23.7	22.3	100	7	5	6	13	15	5	15	31	17	7	7	5	58	75	29.7	16.2	40.6	27.4	28.6	14.9	36.6	25.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
