Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160614	6/14/2016	090741	CME 	00	090 	196429	358	71652	37705	42201	8971	3427	26886	17751	28902	9363	2293	2130	150973	172832	45456	23597	43972	-5114	4237	30845	-5894	367	361	8310	5591	5093	-957	931	84	32729	47509	11243	-3537	100	0.2	36.5	19.2	21.5	4.6	1.7	13.7	9	14.7	4.8	1.2	1.1	76.9	88	23.1	12	89		10	8	12	9	7	28	16	21	7	5		69	58	33.4	48.3	43.7	57.7	18.2	31.5	25	38.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160607	6/7/2016	090741	CME 	00	090 	152457	5472	67415	6861	48095	8604	3066	18577	12161	23809	10320	1362	2046	118244	125323	34213	27134	749	62	-5342	187	-1857	1547	-405	-3034	3220	5909	723	-201	-13	1573	4902	-824	-4153	100	3.6	44.2	4.5	31.5	5.6	2	12.2	8	15.6	6.8	0.9	1.3	77.6	82.2	22.4	17.8	84		9	8	9	10	6	24	16	22	10			63	60	31	39.5	40.6	49.2	28.1	39.1	36.7	46.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160531	5/31/2016	090741	CME 	00	090 	151708	5410	72757	6673	49951	7057	3471	21611	8940	17900	9596	1563	2059	116672	120421	35036	31287	3314	607	-1209	835	-34	781	-106	323	-524	1714	523	946	-67	3794	2369	-480	945	100	3.6	48	4.4	32.9	4.7	2.3	14.2	5.9	11.8	6.3	1	1.4	76.9	79.4	23.1	20.6	80		9	9	10	7	5	23	14	17	11		6	65	52	31.7	42.7	41.7	53.7	28.9	42.1	37.8	49.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160524	5/24/2016	090741	CME 	00	090 	148394	4803	73966	5839	49986	6276	3577	21288	9464	16186	9073	618	2126	112878	118051	35516	30343	2552	-175	-1433	1131	6517	746	1166	-5223	-4455	1382	-1186	175	485	4096	-804	-1544	3356	100	3.2	49.8	3.9	33.7	4.2	2.4	14.3	6.4	10.9	6.1	0.4	1.4	76.1	79.6	23.9	20.4	75		10	7	11	7	5	17	16	16	10		6	58	51	31.8	44.4	43.8	55.2	30.2	43.7	40.4	51.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160517	5/17/2016	090741	CME 	00	090 	145842	4978	75399	4708	43469	5530	2411	26511	13919	14805	10259	443	1641	108782	118856	37060	26986	282	-103	2520	679	503	-1515	-143	-2784	-1372	604	-304	441	32	-1516	1247	1798	-965	100	3.4	51.7	3.2	29.8	3.8	1.7	18.2	9.5	10.2	7	0.3	1.1	74.6	81.5	25.4	18.5	76		9	7	11	7	5	16	18	15	10		4	56	51	32.6	46	42.7	57.3	30.4	45.3	40.1	54.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160510	5/10/2016	090741	CME 	00	090 	145560	5081	72879	4029	42966	7045	2554	29295	15291	14201	10563	1	1609	110298	117609	35262	27951	-4021	445	6687	-2240	4648	767	-1487	-700	-6145	-1955	-163	-408	-10	-1462	-4790	-2559	769	100	3.5	50.1	2.8	29.5	4.8	1.8	20.1	10.5	9.8	7.3	0	1.1	75.8	80.8	24.2	19.2	81		9	7	11	9	5	19	16	14	14		5	62	50	33.3	44.5	43.8	55.6	31.4	44.1	41.1	53.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160503	5/3/2016	090741	CME 	00	090 	149581	4637	66192	6269	38318	6278	4040	29995	21436	16155	10726	409	1619	111760	122399	37821	27182	3669	-470	5916	186	337	-1866	-662	3171	-2355	-24	232	2	23	2793	1220	876	2449	100	3.1	44.3	4.2	25.6	4.2	2.7	20.1	14.3	10.8	7.2	0.3	1.1	74.7	81.8	25.3	18.2	88		9	7	11	7	5	23	18	16	13	4	5	65	56	31	39.1	41.5	51.3	28.3	38.3	37.7	48.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160426	4/26/2016	090741	CME 	00	090 	145912	5106	60276	6083	37982	8144	4703	26824	23791	16179	10494	407	1596	108967	121179	36945	24733	8397	-89	7823	285	-285	-964	480	3587	132	2307	830	-13	152	7268	10203	1129	-1806	100	3.5	41.3	4.2	26	5.6	3.2	18.4	16.3	11.1	7.2	0.3	1.1	74.7	83	25.3	17	89		10	7	10	7	5	22	20	17	14		5	66	57	31.1	36.9	41.3	49.4	28.4	36.8	37.8	46.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160419	4/19/2016	090741	CME 	00	090 	137515	5195	52453	5798	38267	9108	4222	23237	23660	13872	9664	420	1444	101699	110975	35816	26540	10746	510	10371	1461	-579	-1629	1909	2310	-1140	1694	1576	-488	427	9310	12605	1436	-1859	100	3.8	38.1	4.2	27.8	6.6	3.1	16.9	17.2	10.1	7	0.3	1	74	80.7	26	19.3	81		10	7	9	7	5	19	17	16	13		5	59	55	32.4	35	42.9	48.3	29.4	34.9	39.1	46.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	160412	4/12/2016	090741	CME 	00	090 	126769	4685	42082	4336	38846	10737	2313	20927	24800	12177	8088	908	1017	92389	98370	34380	28399	-1716	1234	6559	-947	-147	-5017	-709	261	-338	-4112	-196	322	-485	-5100	-4726	3384	3010	100	3.7	33.2	3.4	30.6	8.5	1.8	16.5	19.6	9.6	6.4	0.7	0.8	72.9	77.6	27.1	22.4	79		10	8	9	8	5	18	17	14	12		5	56	55	33.2	32	44.1	45.1	30.8	31.9	40.4	44.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
