Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190514	5-14-2019	090741	CME 	00	090 	159863	42314	1796	3838	36509	47430	6722	12697	47036	15504	12416	1994	163	130162	124483	29701	35380	-3588	-694	1658	-787	-1342	-890	-68	-82	-1873	-307	-120	-25	105	-3295	-2187	-293	-1401	100	26.5	1.1	2.4	22.8	29.7	4.2	7.9	29.4	9.7	7.8	1.2	0.1	81.4	77.9	18.6	22.1	108	11		8	12	20	14	18	27	18	15		4	74	78	34.6	19	47.3	32	33.8	18.2	42.7	30.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190507	5-7-2019	090741	CME 	00	090 	163451	43008	137	4625	37850	48321	6790	12779	48909	15810	12535	2019	59	133456	126670	29995	36781	-4536	-4645	-456	730	-1288	707	-32	1027	-2116	-898	217	-725	9	-4880	-2781	344	-1755	100	26.3	0.1	2.8	23.2	29.6	4.2	7.8	29.9	9.7	7.7	1.2	0	81.6	77.5	18.4	22.5	109	12		8	13	19	14	19	28	20	13	4		74	80	33.3	20.8	46.3	33.8	32.3	19.5	42	32.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190430	4-30-2019	090741	CME 	00	090 	167987	47653	594	3895	39138	47614	6822	11752	51025	16708	12318	2744	50	138337	129451	29650	38536	1615	4867	-1096	-226	-1916	3921	1018	-3834	-4924	1735	111	236	-5	1750	659	-135	956	100	28.4	0.4	2.3	23.3	28.3	4.1	7	30.4	9.9	7.3	1.6	0	82.3	77.1	17.7	22.9	107	10		7	14	19	14	16	28	18	13	5		72	76	32.9	20.6	47.3	34	31.9	19.4	43.1	32.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190423	4-23-2019	090741	CME 	00	090 	166372	42786	1690	4121	41054	43692	5804	15586	55949	14974	12207	2508	55	136587	128793	29785	37579	8273	1145	1583	-279	2101	2885	-622	3447	499	984	807	493	8	7590	5551	683	2722	100	25.7	1	2.5	24.7	26.3	3.5	9.4	33.6	9	7.3	1.5	0	82.1	77.4	17.9	22.6	112	9		7	16	16	14	23	28	20	13	5		79	77	32.5	20.3	45.9	34.3	31.4	19.2	42.3	32.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190416	4-16-2019	090741	CME 	00	090 	158099	41641	106	4400	38953	40807	6426	12139	55451	13989	11401	2015	47	128997	123242	29102	34857	-5055	4274	-97	-1090	83	3596	-866	-6447	-7032	-85	217	7	0	-3914	-5567	-1141	512	100	26.3	0.1	2.8	24.6	25.8	4.1	7.7	35.1	8.8	7.2	1.3	0	81.6	78	18.4	22	107	11		7	16	17	14	18	28	20	12	4		74	75	34.3	20.9	46.8	34	32.9	19.8	42.8	32.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190409	4-9-2019	090741	CME 	00	090 	163154	37367	204	5490	38870	37211	7292	18586	62483	14074	11184	2008	47	132910	128809	30244	34345	-3332	-4316	201	1678	-1948	1564	-990	1245	-4210	-666	153	437	-5	-4849	-1991	1517	-1341	100	22.9	0.1	3.4	23.8	22.8	4.5	11.4	38.3	8.6	6.9	1.2	0	81.5	78.9	18.5	21.1	109	12		7	16	16	13	21	27	17	12	4		77	70	33	22.7	43.6	35.1	31.3	21.6	38.9	33.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190402	4-2-2019	090741	CME 	00	090 	166486	41683	3	3812	40818	35647	8282	17341	66693	14740	11031	1571	52	137759	130800	28727	35686	7861	3676	-677	-453	-1088	2020	738	3864	7770	29	-190	-5	5	6582	9427	1279	-1566	100	25	0	2.3	24.5	21.4	5	10.4	40.1	8.9	6.6	0.9	0	82.7	78.6	17.3	21.4	103	11		7	15	18	14	20	24	19	11			74	71	32.6	25.7	45	38	31	24.6	41.4	36.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190326	3-26-2019	090741	CME 	00	090 	158625	38007	680	4264	41906	33627	7544	13477	58923	14711	11221	1577	47	131178	121372	27447	37253	-22162	-14552	-3861	-5182	3048	-141	422	2133	-1098	1727	-142	404	-9	-12554	-7738	-9608	-14424	100	24	0.4	2.7	26.4	21.2	4.8	8.5	37.1	9.3	7.1	1	0	82.7	76.5	17.3	23.5	102	9		6	16	14	13	21	26	18	11			71	69	33.9	23.2	45.5	37	32.3	22.2	42	35.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190319	3-19-2019	090741	CME 	00	090 	180787	52559	4540	9446	38858	33768	7122	11344	60021	12984	11363	1173	56	143731	129110	37056	51677	9498	6326	-3211	5967	-677	-5039	407	-805	7088	-1462	-2212	418	-17	7527	4152	1971	5346	100	29.1	2.5	5.2	21.5	18.7	3.9	6.3	33.2	7.2	6.3	0.6	0	79.5	71.4	20.5	28.6	99	9		8	14	16	14	15	28	16	11			67	72	31.5	17.6	48.7	29	30	16.6	43.8	27.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	190312	3-12-2019	090741	CME 	00	090 	171289	46233	7751	3479	39535	38807	6715	12148	52933	14445	13575	755	73	136204	124958	35085	46331	11351	7694	-3827	-892	-1459	4581	618	1910	1458	-228	-2493	-4	6	5156	1713	6195	9638	100	27	4.5	2	23.1	22.7	3.9	7.1	30.9	8.4	7.9	0.4	0	79.5	73	20.5	27	104	9		7	14	16	12	14	33	16	13			66	76	25.4	17.1	42.2	28.9	24.7	16	40.5	27.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
