Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111227	27-12-2011	090741	CME	00	090	125240	36047	2304	4701	16112	35265	625	25355	51163	5115	9661	1562	512	98128	101247	27113	23993	-55454	19528	-19513	-34960	256	-316	147	-7738	4005	-6168	14	55	33	-28889	-56717	-26566	1263	100	28.8	1.8	3.8	12.9	28.2	0.5	20.2	40.9	4.1	7.7	1.2	0.4	78.4	80.8	21.6	19.2	68	8	4	8	5	5		14	16	9	12	4	4	50	42	40.6	58.9	54.2	65.9	40.6	58.8	53	64.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111220	20-12-2011	090741	CME	00	090	180695	16519	21817	39661	15856	35581	478	33093	47158	11283	9647	1507	479	127016	157964	53678	22731	1309	-26647	-65	2395	-2341	676	28	2150	-1137	865	179	22	53	-23317	2837	24626	-1528	100	9.1	12.1	21.9	8.8	19.7	0.3	18.3	26.1	6.2	5.3	0.8	0.3	70.3	87.4	29.7	12.6	75	5	15	17	5	5		14	15	12	13		4	57	54	33.2	46.3	47.2	63	25.7	41.3	31.5	48	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111213	13-12-2011	090741	CME	00	090	179385	43166	21882	37265	18197	34905	450	30943	48295	10418	9468	1485	426	150333	155127	29053	24259	16527	1294	1453	17550	-1663	-8	1	-968	-584	296	807	15	-601	16715	18121	-187	-1593	100	24.1	12.2	20.8	10.1	19.5	0.3	17.2	26.9	5.8	5.3	0.8	0.2	83.8	86.5	16.2	13.5	74	8	13	13	5	4		13	16	11	13			50	54	38.1	45.6	58.7	62.4	34.1	41.4	44.8	47.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111206	06-12-2011	090741	CME	00	090	162858	41873	20429	19716	19860	34913	449	31911	48879	10122	8660	1470	1028	133618	137006	29240	25852	7270	-653	3972	7804	-1033	-302	-71	1441	-5457	561	-1166	282	96	6980	6886	290	384	100	25.7	12.5	12.1	12.2	21.4	0.3	19.6	30	6.2	5.3	0.9	0.6	82	84.1	18	15.9	77	9	12	13	5	4		16	18	14	10		4	56	55	36.1	49	52.3	59.1	35.9	46.7	48.5	52.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111129	29-11-2011	090741	CME	00	090	155588	42526	16457	11911	20893	35215	520	30470	54336	9561	9826	1188	931	126639	130120	28949	25468	14816	4513	-1458	4807	867	3305	13	1508	4924	1991	1311	52	165	15175	13800	-358	1017	100	27.3	10.6	7.7	13.4	22.6	0.3	19.6	34.9	6.1	6.3	0.8	0.6	81.4	83.6	18.6	16.4	79	8	12	11	6	5		10	24	13	11		4	53	57	38.8	50	53.2	59.8	38.8	49.6	52.2	54.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111122	22-11-2011	090741	CME	00	090	140772	38013	17915	7105	20026	31910	507	28962	49412	7569	8516	1136	767	111464	116320	29308	24451	6289	2592	-2506	374	1180	79	17	3393	5417	715	84	83	94	8449	4273	-2160	2016	100	27	12.7	5	14.2	22.7	0.4	20.6	35.1	5.4	6	0.8	0.5	79.2	82.6	20.8	17.4	78	10	10	11	6	5		13	19	13	12		4	55	54	38.3	51.5	53	60.5	38.1	51.4	52.4	57.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111115	15-11-2011	090741	CME	00	090	134482	35422	20420	6731	18846	31831	490	25569	43995	6854	8431	1053	673	103015	112047	31467	22435	2706	346	-1511	738	927	117	3	504	3108	-30	305	40	-26	2766	2439	-60	267	100	26.3	15.2	5	14	23.7	0.4	19	32.7	5.1	6.3	0.8	0.5	76.6	83.3	23.4	16.7	75	8	11	8	5	5		13	19	13	11		4	52	51	37.5	50.1	50.7	59.7	37.3	50	50.2	58	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111108	08-11-2011	090741	CME	00	090	131776	35076	21931	5993	17919	31714	487	25065	40887	6883	8126	1013	699	100249	109608	31527	22168	-2158	1389	-1405	-2198	-457	-5	-22	292	3321	-1381	-663	580	-34	-3075	-1144	917	-1015	100	26.6	16.6	4.5	13.6	24.1	0.4	19	31	5.2	6.2	0.8	0.5	76.1	83.2	23.9	16.8	76	9	10	8	5	5		14	19	13	12		4	54	50	36.4	48.8	49.8	59	36.2	48.7	49.4	57.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111101	01-11-2011	090741	CME	00	090	133935	33688	23336	8191	18376	31719	509	24773	37566	8264	8790	433	733	103324	110751	30611	23183	681	-4045	7105	-27	-382	-10	136	3160	-2129	153	-429	-9	61	-1372	5280	2053	-4599	100	25.2	17.4	6.1	13.7	23.7	0.4	18.5	28	6.2	6.6	0.3	0.5	77.1	82.7	22.9	17.3	78	8	11	8	5	5		18	18	14	12		4	56	51	35.6	45.3	48.2	55.9	35.4	45.1	47.2	54.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111025	25-10-2011	090741	CME	00	090	133253	37732	16231	8218	18758	31729	373	21613	39695	8111	9218	442	672	104695	105471	28558	27782	-2798	-2733	2685	170	-1204	-567	-15	940	-3847	43	231	-419	-151	-2719	-2101	-79	-696	100	28.3	12.2	6.2	14.1	23.8	0.3	16.2	29.8	6.1	6.9	0.3	0.5	78.6	79.2	21.4	20.8	76	9	10	9	6	5		14	19	15	12			57	48	37.5	45.9	50.4	55.9	37.3	45.7	49.7	53.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
