Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151229	12/29/2015	090741	CME 	00	090 	189038	84374	2097	3150	31873	56826	2879	16716	60325	13573	12067	6017	169	164802	145037	24236	44001	8032	4835	-637	-79	303	4546	-455	3519	5027	69	477	620	-13	8656	9078	-624	-1046	100	44.6	1.1	1.7	16.9	30.1	1.5	8.8	31.9	7.2	6.4	3.2	0.1	87.2	76.7	12.8	23.3	105	9	5	9	6	12	5	16	35	15	15	7	7	61	80	46.1	40.7	57	48.4	45.5	40.6	55.7	47.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151222	12/22/2015	090741	CME 	00	090 	181006	79539	2734	3230	31570	52280	3334	13197	55298	13505	11590	5397	182	156147	135960	24859	45046	-24407	12924	555	-30262	458	228	948	-5011	584	1469	-5472	2233	-174	-25122	-24420	715	13	100	43.9	1.5	1.8	17.4	28.9	1.8	7.3	30.6	7.5	6.4	3	0.1	86.3	75.1	13.7	24.9	98	8	6	8	6	10		16	32	16	13	7	6	57	74	47.9	39.5	57.8	47.5	47.2	39.5	56.4	45.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151215	12/15/2015	090741	CME 	00	090 	205413	66615	2179	33492	31112	52052	2387	18208	54714	12036	17063	3164	356	181269	160380	24144	45033	29886	6378	-4790	28849	349	-1961	888	-5501	8583	-648	-81	75	-167	30067	30830	-181	-944	100	32.4	1.1	16.3	15.1	25.3	1.2	8.9	26.6	5.9	8.3	1.5	0.2	88.2	78.1	11.8	21.9	98	9	5	11	6	10		16	35	14	13	4	5	55	76	42.7	39.4	55.7	48.4	32.2	33.5	44	38.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151208	12/8/2015	090741	CME 	00	090 	175527	60238	6970	4643	30763	54013	1498	23709	46130	12684	17143	3089	523	151202	129550	24325	45977	17510	3466	504	-881	1975	4976	-70	10482	6456	3692	-1603	643	-221	16840	15100	670	2410	100	34.3	4	2.6	17.5	30.8	0.9	13.5	26.3	7.2	9.8	1.8	0.3	86.1	73.8	13.9	26.2	94	8	5	9	7	9		16	32	16	13	4	6	58	70	37.8	38.4	51.8	46.1	37.1	37.4	50.5	44.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151201	12/1/2015	090741	CME 	00	090 	158017	56772	6465	5523	28788	49037	1568	13227	39674	8993	18747	2446	744	134361	114450	23656	43567	2053	1673	-314	1162	-116	-2636	68	-2651	184	410	88	420	10	644	-695	1409	2748	100	35.9	4.1	3.5	18.2	31	1	8.4	25.1	5.7	11.9	1.5	0.5	85	72.4	15	27.6	90	8		9	7	9	4	14	30	14	15	4	8	56	69	41.3	37.6	54.3	45.4	39.7	37.4	52.1	45.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151124	11/24/2015	090741	CME 	00	090 	155964	55099	6779	4362	28904	51673	1500	15878	39489	8583	18658	2026	734	133717	115146	22247	40818	1723	4554	-2857	443	354	3088	-191	-5602	3788	189	1318	-244	76	1141	4293	582	-2570	100	35.3	4.3	2.8	18.5	33.1	1	10.2	25.3	5.5	12	1.3	0.5	85.7	73.8	14.3	26.2	92	8		9	6	10	4	17	29	15	14	5	8	57	71	40.8	41.1	53.3	48.5	39.7	40.9	51.4	47.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151117	11/17/2015	090741	CME 	00	090 	154241	50545	9636	3919	28550	48584	1691	21480	35702	8394	17341	2270	658	132577	110853	21664	43388	8858	7080	-4990	-319	162	7211	300	601	977	843	57	971	22	8746	5017	112	3841	100	32.8	6.2	2.5	18.5	31.5	1.1	13.9	23.1	5.4	11.2	1.5	0.4	86	71.9	14	28.1	86	8		9	6	10	4	17	25	13	13	4	8	55	65	41.3	43.6	53.4	49.7	40.5	43.4	52.5	48.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151110	11/10/2015	090741	CME 	00	090 	145383	43465	14625	4237	28387	41373	1391	20879	34724	7550	17284	1299	637	123830	105836	21553	39547	13207	132	-3282	880	1027	10972	-400	11641	2965	-1312	2132	-260	2	14102	9566	-895	3641	100	29.9	10.1	2.9	19.5	28.5	1	14.4	23.9	5.2	11.9	0.9	0.4	85.2	72.8	14.8	27.2	82	7	4	8	6	10	4	17	22	12	12	4	7	53	60	43.1	43.6	54.7	50.2	42.3	43.5	53.7	49.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151103	11/3/2015	090741	CME 	00	090 	132176	43334	17907	3357	27360	30401	1791	9239	31759	8862	15152	1559	634	109728	96271	22448	35905	-3945	2610	-653	-509	-841	-4990	-954	-1990	3231	-92	-1241	522	-26	-3042	-3471	-903	-474	100	32.8	13.5	2.5	20.7	23	1.4	7	24	6.7	11.5	1.2	0.5	83	72.8	17	27.2	81	5	6	9	6	9	4	17	21	13	13	4	6	54	59	45.1	39.7	55	47.3	44.2	39.6	53.4	46.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	151027	10/27/2015	090741	CME 	00	090 	136121	40723	18561	3867	28201	35391	2744	11229	28528	8954	16393	1037	660	112770	99742	23351	36379	2765	-1611	2931	534	160	1529	1516	-1234	-7785	1995	4767	-97	20	6147	643	-3382	2122	100	29.9	13.6	2.8	20.7	26	2	8.2	21	6.6	12	0.8	0.5	82.8	73.3	17.2	26.7	80	4	7	9	7	7	4	14	25	14	13		6	53	60	45.2	40.7	55	47.1	44.2	40.6	53.8	46	"(CONTRACTS OF CAD 100,000)"	F10	Combined
