20MICRONS 	20 MICRONS LTD                                    	NSE       
3IINFOTECH	3I INFOTECH LTD.                                  	NSE       
3MINDIA   	3M INDIA LIMITED                                  	NSE       
AARTIDRUGS	AARTI DRUGS LTD.                                  	NSE       
AARTIIND  	AARTI INDUSTRIES LTD                              	NSE       
AARVEEDEN 	AARVEE DEN. & EXP. LTD                            	NSE       
ABAN      	ABAN OFFSHORE LTD.                                	NSE       
ABB       	ABB LTD.                                          	NSE       
ABBOTINDIA	ABBOTT INDIA LIMITED                              	NSE       
ABGSHIP   	ABG SHIPYARD LTD                                  	NSE       
ABIRLANUVO	ADITYA BIRLA NUVO LIMITED                         	NSE       
ACC       	ACC LIMITED                                       	NSE       
ACE       	ACTION CONST EQUIP LTD                            	NSE       
ADANIENT  	ADANI ENTERPRISES LIMITED                         	NSE       
ADANIPOWER	ADANI POWER LTD                                   	NSE       
ADFFOODS  	ADF FOODS LIMITED                                 	NSE       
ADHUNIK   	ADHUNIK METALIKS LTD.                             	NSE       
ADORWELD  	ADOR WELDING LTD                                  	NSE       
ADSL      	ALLIED DIGITAL SERV. LTD                          	NSE       
ADVANIHOTR	ADVANI HOT.& RES.(I) LTD                          	NSE       
AEGISCHEM 	AEGIS LOGISTICS LIMITED                           	NSE       
AFL       	ACCEL FRONTLINE LTD                               	NSE       
AGCNET    	AGC NETWORKS LIMITED                              	NSE       
AHLEAST   	                                                  	NSE       
AHLUCONT  	AHLUWALIA CONT IND LTD                            	NSE       
AHLWEST   	ASIAN HOTELS (WEST) LTD                           	NSE       
AIAENG    	AIA ENGINEERING LIMITED                           	NSE       
AJANTPHARM	AJANTA PHARMA LIMITED                             	NSE       
AJMERA    	AJMERA REALTY & INF I LTD                         	NSE       
AKSHOPTFBR	AKSH OPTIFIBRE LIMITED                            	NSE       
AKZOINDIA 	AKZO NOBEL INDIA LIMITED                          	NSE       
ALBK      	ALLAHABAD BANK                                    	NSE       
ALCHEM    	ALCHEMIST LTD                                     	NSE       
ALEMBICLTD	ALEMBIC LIMITED                                   	NSE       
ALKALI    	ALKALI METALS LTD                                 	NSE       
ALKYLAMINE	ALKYL AMINES CHEM. LTD                            	NSE       
ALLCARGO  	ALLCARGO GLOBAL LOG. LTD.                         	NSE       
ALLSEC    	ALLSEC TECHNOLOGIES LTD                           	NSE       
ALMONDZ   	ALMONDZ GLOBAL SEC LTD                            	NSE       
ALOKTEXT  	ALOK INDUSTRIES LTD                               	NSE       
ALPHAGEO  	ALPHAGEO (INDIA) LIMITED                          	NSE       
ALPSINDUS 	ALPS INDUSTRIES LTD                               	NSE       
AMARAJABAT	AMARA RAJA BATTERIES LTD.                         	NSE       
AMBIKCO   	AMBIKA COTTON MILL LTD.                           	NSE       
AMBUJACEM 	AMBUJA CEMENTS LTD                                	NSE       
AMDIND    	AMD INDUSTRIES LIMITED                            	NSE       
AMRUTANJAN	AMRUTAJAN HEALTH LTD                              	NSE       
AMTEKAUTO 	AMTEK AUTO LTD.                                   	NSE       
ANANTRAJ  	ANANT RAJ INDUS LTD                               	NSE       
ANDHRABANK	ANDHRA BANK                                       	NSE       
ANDHRACEMT	ANDHRA CEMENTS LIMITED                            	NSE       
ANDHRSUGAR	ANDHRA SUGARS LTD                                 	NSE       
ANGIND    	ANG INDUSTRIES LIMITED                            	NSE       
ANSALAPI  	ANSAL PROP & INFRA LTD                            	NSE       
ANSALHSG  	ANSAL HOU. & CON. LTD.                            	NSE       
APARINDS  	APAR INDUSTRIES LTD.                              	NSE       
APCOTEXIND	APCOTEX INDUSTRIES LIMITE                         	NSE       
APOLLOHOSP	APOLLO HOSPITALS ENTER. L                         	NSE       
APOLLOTYRE	APOLLO TYRES LTD                                  	NSE       
APTECHT   	APTECH LIMITED                                    	NSE       
ARCHIDPLY 	ARCHIDPLY IND. LTD                                	NSE       
ARCHIES   	ARCHIES LTD                                       	NSE       
ARIES     	ARIES AGRO LTD.                                   	NSE       
ARIHANT   	ARIHANT FOUN & HOU LTD                            	NSE       
AROGRANITE	ARO GRANITE IND. LTD.                             	NSE       
ARROWTEX  	ARROW TEXTILES LIMITED                            	NSE       
ARSHIYA   	ARSHIYA INTERNATIONAL LTD                         	NSE       
ARSSINFRA 	ARSS INFRA PROJ. LTD                              	NSE       
ARVIND    	ARVIND LIMITED                                    	NSE       
ASAHIINDIA	ASAHI INDIA GLASS LIMITED                         	NSE       
ASAL      	AUTOMOTIVE STAMPINGS & AS                         	NSE       
ASHAPURMIN	ASHAPURA MINECHEM LTD                             	NSE       
ASHIANA   	ASHIANA HOUSING LTD                               	NSE       
ASHIMASYN 	ASHIMA LTD                                        	NSE       
ASHOKA    	ASHOKA BUILDCON LTD                               	NSE       
ASHOKLEY  	ASHOK LEYLAND LTD                                 	NSE       
ASIANHOTNR	ASIAN HOTELS (NORTH) LTD                          	NSE       
ASIANPAINT	ASIAN PAINTS LIMITED                              	NSE       
ASIANTILES	ASIAN GRANITO IND. LTD.                           	NSE       
ASIL      	AMIT SPINNING IND. LTD                            	NSE       
ASSAMCO   	ASSAM COMPANY INDIA LTD                           	NSE       
ASTEC     	ASTEC LIFESCIENCES LTD                            	NSE       
ASTRAL    	ASTRAL POLY TECH LTD                              	NSE       
ASTRAMICRO	ASTRA MICROWAVE LTD                               	NSE       
ASTRAZEN  	ASTRAZENECA PHARMA IND LT                         	NSE       
ATFL      	AGRO TECH FOODS LIMITED                           	NSE       
ATLANTA   	ATLANTA LIMITED                                   	NSE       
ATLASCYCLE	ATLAS CYCLE (HARYANA) LTD                         	NSE       
