AAB       	Aberdeen International Inc                        	TSX       
AAV       	Advantage Oil & Gas Ltd                           	TSX       
ABT       	Absolute Software Corp                            	TSX       
ABX       	Barrick Gold Corp                                 	TSX       
AC        	Air Canada                                        	TSX       
ACB       	Aurora Cannabis Inc                               	TSX       
ACB.WT    	Aurora Cannabis Inc Wts                           	TSX       
ACD       	Accord Financial                                  	TSX       
ACD.DB    	Accord Financial Corp 7.00 Pct Debs               	TSX       
ACI       	Altagas Canada Inc                                	TSX       
ACO.X     	Atco Ltd Cl.I Nv                                  	TSX       
ACO.Y     	Atco Ltd Cl II                                    	TSX       
ACQ       	Autocanada Inc                                    	TSX       
ACR.UN    	Agellan Commercial REIT                           	TSX       
ACZ.UN    	American Core Sectors Dividend Fund               	TSX       
AD        	Alaris Royalty Corp                               	TSX       
ADC.UN    	First Asset Canadian Convertibles Fund            	TSX       
ADN       	Acadian Timber Corp                               	TSX       
ADVZ      	Advanz Pharma Corp                                	TSX       
ADVZ.U    	Advanz Pharma Corp USD                            	TSX       
ADW.A     	Andrew Peller Limited Cl.A                        	TSX       
ADW.B     	Andrew Peller Limited Cl.B                        	TSX       
AEF       	Acasta Enterprises Inc                            	TSX       
AEF.WT    	Acasta Enterprises Inc Wts                        	TSX       
AEM       	Agnico Eagle Mines Limited                        	TSX       
AEZS      	Aeterna Zentaris Inc                              	TSX       
AFN       	Ag Growth International Inc                       	TSX       
AFN.DB.B  	Ag Growth International 5.25 Pct Debs             	TSX       
AFN.DB.C  	Ag Growth Intl Inc 5.00 Pct Debs                  	TSX       
AFN.DB.D  	Ag Growth Intl Inc 4.85 Pct Debs                  	TSX       
AFN.DB.E  	Ag Growth Intl Inc 4.50 Pct Debs                  	TSX       
AGF.B     	AGF Management Ltd Cl.B Nv                        	TSX       
AGI       	Alamos Gold Inc Cls A                             	TSX       
AGI.WT.A  	Alamos Gold Inc Warrants A                        	TSX       
AGT       	Agt Food and Ingredients Inc                      	TSX       
AHY.UN    	Advantaged CDN High Yield Bond Fund               	TSX       
AI        	Atrium Mortgage Investment Corp                   	TSX       
AI.DB     	Atrium Mortgage Inv Corp 5.25 Pct Debs            	TSX       
AI.DB.A   	Atrium Mortgage Inv Corp 6.25 Pct Debs            	TSX       
AI.DB.B   	Atrium Mortgage Inv Corp 5.50 Pct Debs            	TSX       
AI.DB.C   	Atrium Mortgage Inv Corp 5.30 Pct Debs            	TSX       
AI.DB.D   	Atrium Mortgage Inv Corp 5.50 Pct Debs            	TSX       
AIF       	Altus Group Limited                               	TSX       
AII       	Almonty Industries Inc                            	TSX       
AIM       	Aimia Inc                                         	TSX       
AIM.PR.A  	Aimia Inc Pref Ser 1                              	TSX       
AIM.PR.B  	Aimia Inc Pref Ser 2                              	TSX       
AIM.PR.C  	Aimia Inc Pref Ser 3                              	TSX       
AJX       	Agjunction Inc                                    	TSX       
AKG       	Asanko Gold Inc                                   	TSX       
AKT.A     	Akita Drilling Ltd Cl.A Nv                        	TSX       
AKT.B     	Akita Cl B                                        	TSX       
AKU       	Akumin Inc                                        	TSX       
AKU.U     	Akumin Inc                                        	TSX       
ALA       	Altagas Ltd                                       	TSX       
ALA.PR.A  	Altagas Ltd Pref A                                	TSX       
ALA.PR.B  	Altagas Ltd Pref Ser B                            	TSX       
ALA.PR.E  	Altagas Ltd Pref Ser E                            	TSX       
ALA.PR.G  	Altagas Ltd Pref G                                	TSX       
ALA.PR.I  	Altagas Ltd Pref Ser I                            	TSX       
ALA.PR.K  	Altagas Ltd Pref Ser K                            	TSX       
ALA.PR.U  	Altagas Ltd Pref Ser C                            	TSX       
ALB       	Allbanc Split Banc Corp II                        	TSX       
ALB.PR.C  	Allbanc Split Corp II Pref Ser 2                  	TSX       
ALC       	Algoma Central                                    	TSX       
ALC.DB.A  	Algoma Central Corp 5.25 Pct Debs                 	TSX       
ALO       	Alio Gold Inc                                     	TSX       
ALS       	Altius Minerals Corp                              	TSX       
ALYA      	Alithya Group                                     	TSX       
AMM       	Almaden Minerals Ltd                              	TSX       
ANX       	Anaconda Mining Inc                               	TSX       
AOI       	Africa Oil Corp                                   	TSX       
AP.UN     	Allied Properties Real Estate Inv Trust           	TSX       
APHA      	Aphria Inc                                        	TSX       
APR.UN    	Automotive Properties REIT                        	TSX       
APS       	Aptose Biosciences Inc                            	TSX       
APY       	Anglo Pacific Group Plc                           	TSX       
AQA       	Aquila Resources Inc                              	TSX       
AQN       	Algonquin Power and Utilities Corp                	TSX       
AQN.PR.A  	Algonquin Power and Utilities Pref A              	TSX       
